account_id,customer_id,branch_id,account_type,opened_date,current_balance,account_status
A000036,C04202,B00501,Savings,2021-06-21,110419.16,Active
A000037,C01758,B00901,Premium Savings,2024-10-21,78517.82,Active
A000038,C02723,B00901,Salary,2021-08-13,260001.84,Active
A000039,C03538,B00401,Salary,2020-08-07,225151.59,Active
A000040,C01319,B00201,Salary,2021-12-24,153713.39,Active
A000041,C02790,B00601,Salary,2024-06-21,225555.67,Active
A000042,C00060,B00901,Premium Savings,2023-05-05,199723.42,Active
A000043,C03333,B00401,Savings,2020-09-16,186085.35,Active
A000044,C01615,B00201,Premium Savings,2023-11-09,131484.71,Active
A000045,C02555,B00601,Premium Savings,2021-05-14,29496.43,Active
A000046,C02930,B00401,Salary,2020-07-15,134282.73,Active
A000047,C02456,B00301,Current,2020-05-05,160637.26,Active
A000048,C00070,B00401,Salary,2022-12-10,178952.16,Active
A000049,C04094,B00901,Premium Savings,2020-07-19,206973.81,Active
A000050,C04222,B01001,Savings,2021-07-23,212833.78,Active
A000051,C04656,B00901,Salary,2021-12-10,234246.77,Active
A000052,C03909,B00601,Premium Savings,2022-11-18,363349.1,Active
A000053,C04221,B00501,Current,2020-03-18,291578.01,Active
A000054,C01277,B00601,Premium Savings,2021-09-30,119290.92,Active
A000055,C03208,B00201,Current,2020-09-23,136929.9,Active
A000056,C01905,B01001,Savings,2024-01-27,171519.78,Active
A000057,C04701,B00401,Salary,2024-03-06,322080.91,Active
A000058,C03485,B00401,Current,2022-03-24,331833.46,Active
A000059,C02254,B01001,Salary,2020-09-23,226982.86,Active
A000060,C03057,B00101,Current,2021-07-21,185618.19,Active
A000061,C03459,B00301,Current,2021-08-01,172387.08,Active
A000062,C04831,B00601,Savings,2020-03-20,186908.67,Active
A000063,C04864,B00301,Premium Savings,2024-05-27,152237.95,Active
A000064,C04912,B01001,Current,2020-12-09,256463.89,Active
A000065,C00278,B00601,Current,2023-10-24,248046.54,Active
A000066,C04447,B00901,Current,2023-06-20,138022.59,Active
A000067,C00931,B00501,Salary,2022-08-23,9565.13,Active
A000068,C02089,B00601,Salary,2024-03-24,230765.1,Active
A000069,C01935,B00401,Savings,2024-10-03,266758.23,Active
A000070,C02629,B00601,Savings,2020-12-09,342838.32,Active
A000071,C00816,B00901,Premium Savings,2021-03-19,145743.75,Active
A000072,C03712,B00101,Current,2023-07-01,241525.71,Active
A000073,C00490,B00201,Savings,2023-02-04,145891.31,Active
A000074,C01850,B00901,Salary,2020-04-25,344772.76,Active
A000075,C03514,B00101,Savings,2024-09-25,306219.16,Active
A000076,C01759,B00901,Premium Savings,2022-01-09,133503.13,Active
A000077,C04566,B01001,Premium Savings,2023-09-14,293021.38,Active
A000078,C01445,B00101,Current,2023-01-29,158082.81,Active
A000079,C04993,B00201,Salary,2023-10-01,269366.74,Active
A000080,C02327,B00801,Premium Savings,2023-05-19,159810.29,Active
A000081,C01745,B00701,Savings,2023-04-26,389241.01,Active
A000082,C01994,B00201,Salary,2020-04-04,244233.93,Active
A000083,C00860,B00701,Current,2021-03-11,0.0,Active
A000084,C02233,B00701,Salary,2022-03-25,162875.08,Active
A000085,C01322,B00701,Salary,2020-07-21,201503.1,Active
A000086,C04298,B00501,Premium Savings,2020-11-22,0.0,Active
A000087,C00920,B00401,Premium Savings,2022-02-28,320069.36,Active
A000088,C00478,B00701,Salary,2023-03-01,213028.67,Active
A000089,C04476,B01001,Premium Savings,2023-12-27,259498.09,Active
A000090,C00832,B00301,Current,2023-03-17,195202.06,Active
A000091,C00971,B00801,Premium Savings,2023-03-21,140230.05,Active
A000092,C01577,B00201,Savings,2021-11-06,86052.53,Active
A000093,C00561,B00201,Current,2024-10-04,65002.65,Active
A000094,C04823,B00901,Premium Savings,2021-10-15,206611.08,Active
A000095,C02062,B00201,Savings,2021-06-06,219895.66,Active
A000096,C03957,B00301,Current,2023-08-31,159177.29,Active
A000097,C00874,B01001,Savings,2024-01-02,180482.82,Active
A000098,C03359,B01001,Salary,2020-07-08,0.0,Active
A000099,C02843,B00301,Salary,2022-08-12,307291.38,Active
A000100,C01213,B00301,Salary,2021-07-14,98209.67,Active
A000101,C03897,B00501,Savings,2020-08-26,267697.79,Active
A000102,C02976,B01001,Current,2022-03-26,41681.32,Active
A000103,C02278,B00401,Current,2023-10-22,186968.45,Active
A000104,C02620,B00501,Current,2023-10-05,217272.15,Active
A000105,C01710,B00701,Savings,2024-01-03,47937.51,Active
A000106,C03325,B00901,Savings,2021-03-23,142099.68,Active
A000107,C00339,B00501,Premium Savings,2020-06-28,230578.35,Active
A000108,C03218,B00601,Savings,2020-03-14,247985.73,Active
A000109,C01135,B00401,Savings,2022-05-08,398861.96,Active
A000110,C00625,B00301,Current,2020-12-08,383921.12,Active
A000111,C00907,B00901,Premium Savings,2023-09-17,226505.45,Active
A000112,C04569,B00301,Salary,2020-06-13,316223.59,Active
A000113,C00100,B00201,Premium Savings,2020-05-26,190802.26,Active
A000114,C02181,B00401,Premium Savings,2022-08-26,72447.14,Active
A000115,C02406,B00301,Current,2023-04-15,178025.34,Active
A000116,C04551,B00901,Premium Savings,2022-02-06,317705.26,Active
A000117,C02470,B01001,Current,2024-03-13,123540.54,Active
A000118,C04393,B00801,Current,2020-07-14,202814.24,Active
A000119,C01805,B01001,Salary,2021-07-17,284241.28,Active
A000120,C01230,B00701,Salary,2023-09-10,88745.06,Active
A000121,C00825,B00301,Savings,2024-05-03,0.0,Active
A000122,C00906,B00301,Savings,2020-04-17,377017.77,Active
A000123,C00035,B00501,Premium Savings,2020-07-11,192859.43,Active
A000124,C01334,B00301,Savings,2021-12-27,261942.73,Active
A000125,C04597,B00101,Salary,2020-01-10,267187.54,Active
A000126,C00909,B00101,Savings,2021-05-06,46778.92,Active
A000127,C00615,B00901,Premium Savings,2024-06-19,187390.02,Active
A000128,C04190,B01001,Premium Savings,2022-06-13,222715.83,Active
A000129,C02502,B00301,Savings,2024-01-12,220174.93,Active
A000130,C01064,B00601,Premium Savings,2023-07-08,157954.13,Active
A000131,C03062,B00101,Salary,2024-03-09,290009.02,Active
A000132,C00249,B00601,Savings,2020-03-10,220666.91,Active
A000133,C01711,B00901,Premium Savings,2024-07-18,186994.33,Active
A000134,C04732,B00101,Current,2022-05-11,297414.55,Active
A000135,C01815,B01001,Salary,2024-06-01,132076.89,Active
A000136,C01686,B00401,Salary,2024-03-13,324773.68,Active
A000137,C02317,B00101,Current,2022-01-11,323290.85,Active
A000138,C00521,B01001,Savings,2023-07-25,0.0,Active
A000139,C00690,B00201,Savings,2023-09-21,302190.8,Active
A000140,C03521,B00201,Premium Savings,2022-06-06,104917.24,Active
A000141,C00471,B00201,Savings,2023-03-26,281261.87,Active
A000142,C01865,B00201,Premium Savings,2020-08-02,87291.9,Active
A000143,C01996,B00201,Salary,2020-06-04,100918.5,Active
A000144,C02932,B00401,Salary,2021-07-02,113992.72,Active
A000145,C03715,B00301,Current,2020-11-30,247820.48,Active
A000146,C02153,B01001,Premium Savings,2024-03-12,347957.41,Active
A000147,C03500,B00301,Savings,2024-04-26,231523.88,Active
A000148,C03134,B00101,Current,2021-12-16,305988.06,Active
A000149,C02375,B01001,Current,2020-10-06,40854.2,Active
A000150,C03511,B00501,Savings,2022-04-20,313904.1,Active
A000151,C01866,B00401,Salary,2020-02-03,305195.41,Active
A000152,C01735,B01001,Current,2020-01-26,302136.55,Active
A000153,C04524,B00901,Current,2021-01-16,219592.31,Active
A000154,C03905,B01001,Salary,2024-07-28,135698.17,Active
A000155,C03955,B01001,Premium Savings,2020-11-11,144434.33,Active
A000156,C02413,B00601,Savings,2021-07-14,84256.94,Active
A000157,C01284,B00301,Current,2022-10-11,197273.02,Active
A000158,C03707,B01001,Salary,2024-09-02,82575.19,Active
A000159,C00451,B00501,Premium Savings,2021-03-12,141586.02,Active
A000160,C01433,B00901,Savings,2021-12-28,95314.79,Active
A000161,C04447,B00101,Savings,2024-01-18,111216.24,Active
A000162,C04695,B00101,Savings,2021-10-14,224362.4,Active
A000163,C03429,B00201,Current,2023-05-10,95784.62,Active
A000164,C00201,B00101,Current,2024-04-04,326303.63,Active
A000165,C04073,B00201,Current,2020-11-30,297691.03,Active
A000166,C01498,B00101,Current,2020-02-23,367349.93,Active
A000167,C04875,B00201,Savings,2022-01-27,147722.19,Active
A000168,C03264,B00901,Salary,2021-10-18,254083.99,Active
A000169,C02682,B00101,Savings,2023-12-06,71109.62,Active
A000170,C00695,B00601,Salary,2024-07-23,250630.27,Active
A000171,C02289,B00301,Premium Savings,2024-09-30,0.0,Active
A000172,C03070,B00401,Current,2024-08-04,195906.6,Active
A000173,C01361,B00401,Premium Savings,2020-01-03,102054.88,Active
A000174,C00027,B00701,Current,2022-08-23,301506.61,Active
A000175,C04667,B00101,Current,2020-05-18,268304.51,Active
A000176,C03213,B01001,Salary,2021-03-08,119499.62,Active
A000177,C02345,B00101,Current,2024-11-27,114851.91,Active
A000178,C00899,B00801,Savings,2023-12-01,166865.58,Active
A000179,C03762,B00101,Premium Savings,2024-05-13,268483.71,Active
A000180,C02762,B00901,Savings,2024-10-25,56332.44,Active
A000181,C02601,B00601,Salary,2022-02-14,284922.81,Active
A000182,C02332,B00301,Salary,2022-03-12,167470.3,Active
A000183,C00680,B00601,Premium Savings,2023-03-01,164092.44,Active
A000184,C01958,B00601,Current,2024-11-04,231551.29,Active
A000185,C02628,B00301,Current,2024-02-16,208557.27,Active
A000186,C04417,B00701,Premium Savings,2024-01-06,247607.55,Active
A000187,C00144,B00901,Premium Savings,2020-01-19,97915.34,Active
A000188,C02861,B00701,Premium Savings,2020-10-15,133113.73,Active
A000189,C04681,B00201,Current,2022-07-19,114146.23,Active
A000190,C02948,B00201,Premium Savings,2020-09-23,138227.97,Active
A000191,C01860,B00101,Savings,2022-03-03,454835.82,Active
A000192,C01371,B00301,Premium Savings,2021-01-16,264838.48,Active
A000193,C03752,B00401,Current,2022-12-30,309664.56,Active
A000194,C04901,B00201,Salary,2023-10-23,203155.65,Active
A000195,C00845,B00301,Savings,2020-08-30,210757.55,Active
A000196,C04686,B00401,Salary,2020-09-14,370417.02,Active
A000197,C02425,B00601,Savings,2024-07-09,174929.63,Active
A000198,C03227,B00501,Current,2024-07-18,121437.99,Active
A000199,C00644,B00901,Salary,2024-04-11,173836.32,Active
A000200,C01024,B00201,Current,2020-06-15,349088.68,Active
A000201,C04672,B00201,Premium Savings,2020-11-04,320654.55,Active
A000202,C02077,B00501,Savings,2022-09-29,315590.23,Active
A000203,C02073,B00401,Salary,2020-10-11,308730.37,Active
A000204,C02172,B00401,Salary,2023-08-15,18767.79,Active
A000205,C00610,B00901,Savings,2021-06-11,261499.7,Active
A000206,C01883,B00601,Savings,2023-09-17,160993.56,Active
A000207,C01479,B00701,Savings,2023-04-23,363706.44,Active
A000208,C00165,B00601,Salary,2020-01-26,258058.49,Active
A000209,C02393,B00501,Savings,2020-09-01,163837.2,Active
A000210,C00520,B00901,Savings,2024-07-05,211708.15,Active
A000211,C01371,B00401,Current,2024-01-02,258008.47,Active
A000212,C03702,B00301,Savings,2020-02-26,277706.4,Active
A000213,C00493,B00901,Premium Savings,2023-01-15,155514.19,Active
A000214,C00591,B01001,Savings,2020-06-21,0.0,Active
A000215,C01042,B00101,Salary,2022-08-30,369165.46,Active
A000216,C01984,B00401,Current,2021-11-29,278763.17,Active
A000217,C02305,B00601,Premium Savings,2023-12-31,223375.82,Active
A000218,C01392,B00601,Salary,2024-02-02,177676.78,Active
A000219,C03943,B00201,Current,2021-08-19,265291.77,Active
A000220,C01113,B00601,Current,2022-12-08,36266.78,Active
A000221,C02327,B00901,Premium Savings,2021-05-08,267089.0,Active
A000222,C00359,B00901,Savings,2020-12-26,188166.96,Active
A000223,C00147,B01001,Premium Savings,2022-09-22,40394.71,Active
A000224,C03341,B00901,Premium Savings,2020-02-01,249218.1,Active
A000225,C03113,B01001,Savings,2020-09-17,97691.38,Active
A000226,C03648,B00301,Premium Savings,2022-04-25,318689.29,Active
A000227,C01871,B00301,Current,2024-04-19,169694.08,Active
A000228,C01985,B00501,Salary,2021-11-27,162698.61,Active
A000229,C04634,B00401,Current,2023-02-08,363340.3,Active
A000230,C02721,B00301,Current,2024-03-21,158475.94,Active
A000231,C03808,B00901,Premium Savings,2020-11-06,150695.94,Active
A000232,C00756,B01001,Salary,2021-01-22,158745.49,Active
A000233,C01553,B00501,Premium Savings,2022-06-07,19453.61,Active
A000234,C01344,B00601,Salary,2023-04-22,88034.26,Active
A000235,C03259,B00101,Savings,2020-10-31,190155.71,Active
A000236,C01967,B00701,Premium Savings,2023-10-28,118909.16,Active
A000237,C03012,B00601,Savings,2023-08-30,254724.1,Active
A000238,C02899,B00101,Premium Savings,2020-11-14,255367.48,Active
A000239,C02536,B00601,Premium Savings,2024-11-05,22577.46,Active
A000240,C03720,B00601,Savings,2024-04-07,403986.69,Active
A000241,C00714,B01001,Savings,2022-05-18,78684.85,Active
A000242,C01499,B00601,Savings,2020-03-24,300318.17,Active
A000243,C00178,B00301,Savings,2023-01-19,144214.17,Active
A000244,C01030,B00501,Salary,2020-06-04,182936.95,Active
A000245,C03046,B00401,Savings,2023-06-08,419607.5,Active
A000246,C03584,B00901,Savings,2023-09-16,74305.01,Active
A000247,C00201,B00801,Premium Savings,2020-04-17,222865.48,Active
A000248,C02457,B00201,Current,2021-08-25,200447.9,Active
A000249,C01773,B00401,Current,2023-05-17,129006.02,Active
A000250,C00449,B00901,Savings,2021-05-02,231548.88,Active
A000251,C04260,B01001,Premium Savings,2020-01-25,142112.03,Active
A000252,C03243,B00301,Current,2022-01-22,268178.83,Active
A000253,C02553,B00901,Salary,2020-01-20,290502.3,Active
A000254,C01245,B01001,Current,2024-01-29,302843.6,Active
A000255,C01797,B01001,Salary,2020-06-22,307452.19,Active
A000256,C01967,B00601,Salary,2020-10-31,307806.74,Active
A000257,C00841,B00201,Salary,2024-07-25,100564.74,Active
A000258,C04091,B00501,Premium Savings,2021-11-16,255033.15,Active
A000259,C01684,B00101,Savings,2020-03-10,317560.5,Active
A000260,C02477,B00601,Current,2022-07-02,280343.61,Active
A000261,C02640,B00201,Current,2020-12-30,129821.29,Active
A000262,C04922,B01001,Premium Savings,2024-11-22,188287.05,Active
A000263,C01859,B00301,Salary,2020-01-15,408130.64,Active
A000264,C01213,B00801,Current,2023-02-02,252578.28,Active
A000265,C04207,B00401,Salary,2024-07-22,206567.21,Active
A000266,C01032,B01001,Salary,2022-01-19,189697.58,Active
A000267,C04336,B00501,Salary,2024-08-26,332378.11,Active
A000268,C04332,B00401,Current,2021-05-23,191110.27,Active
A000269,C03296,B01001,Savings,2021-04-25,205578.96,Active
A000270,C01664,B00601,Premium Savings,2024-08-15,114758.79,Active
A000271,C01805,B00501,Premium Savings,2020-03-26,155202.83,Active
A000272,C02100,B00401,Premium Savings,2022-05-24,199884.71,Active
A000273,C03070,B00101,Current,2023-05-16,60431.41,Active
A000274,C01546,B00101,Salary,2022-03-25,11238.91,Active
A000275,C00299,B00601,Savings,2021-12-31,338971.86,Active
A000276,C02407,B01001,Savings,2022-12-07,204464.19,Active
A000277,C00263,B00401,Current,2023-01-11,42034.28,Active
A000278,C00289,B00201,Savings,2020-07-20,201893.84,Active
A000279,C01409,B00201,Current,2022-09-26,176839.65,Active
A000280,C03429,B00601,Premium Savings,2021-02-03,130114.27,Active
A000281,C04883,B00201,Premium Savings,2022-10-25,81743.09,Active
A000282,C02736,B00801,Salary,2024-11-03,96239.13,Active
A000283,C04542,B00201,Savings,2024-06-17,151436.76,Active
A000284,C00080,B01001,Current,2021-12-25,179318.16,Active
A000285,C03124,B00201,Current,2023-12-18,68988.55,Active
A000286,C04103,B00201,Current,2021-01-25,143666.64,Active
A000287,C04519,B00101,Salary,2023-09-22,315020.17,Active
A000288,C02633,B00301,Savings,2020-07-11,156309.07,Active
A000289,C01886,B01001,Premium Savings,2023-02-08,135941.01,Active
A000290,C02537,B00201,Current,2020-11-10,151311.19,Active
A000291,C03227,B00401,Current,2022-06-24,184743.97,Active
A000292,C02344,B01001,Current,2022-12-02,192210.95,Active
A000293,C04183,B00601,Savings,2020-02-04,273751.24,Active
A000294,C01709,B00501,Current,2022-04-24,95676.34,Active
A000295,C04454,B00501,Current,2022-09-15,143094.98,Active
A000296,C00298,B01001,Current,2023-12-12,162394.23,Active
A000297,C03959,B00601,Savings,2023-07-27,209482.65,Active
A000298,C01366,B01001,Current,2024-05-17,125434.81,Active
A000299,C03537,B00101,Premium Savings,2020-09-05,179869.13,Active
A000300,C01558,B00601,Salary,2023-04-20,144546.47,Active
A000301,C01055,B00101,Salary,2020-10-26,171661.52,Active
A000302,C03891,B00501,Salary,2024-05-16,189001.13,Active
A000303,C04561,B01001,Salary,2020-05-04,208274.0,Active
A000304,C01103,B00501,Savings,2023-06-24,0.0,Active
A000305,C00266,B00101,Premium Savings,2023-06-11,318500.83,Active
A000306,C01545,B00901,Current,2023-12-06,183072.0,Active
A000307,C02787,B00301,Savings,2023-04-08,223347.48,Active
A000308,C01772,B00801,Current,2024-09-19,241372.68,Active
A000309,C03598,B00201,Premium Savings,2024-01-30,175552.2,Active
A000310,C03959,B00901,Salary,2022-11-09,226597.07,Active
A000311,C02821,B00201,Salary,2020-07-30,356623.82,Active
A000312,C04932,B00301,Salary,2021-07-16,162362.05,Active
A000313,C02752,B00901,Current,2020-10-17,293273.29,Active
A000314,C04418,B00101,Savings,2023-06-09,118016.96,Active
A000315,C03764,B00501,Salary,2024-06-16,101283.54,Active
A000316,C00357,B00901,Current,2021-09-04,139563.23,Active
A000317,C03295,B00201,Premium Savings,2020-07-21,199347.76,Active
A000318,C02738,B00701,Savings,2021-09-02,101142.08,Active
A000319,C01894,B00601,Savings,2020-12-19,206275.46,Active
A000320,C03379,B00601,Premium Savings,2021-11-13,149143.2,Active
A000321,C02466,B00601,Savings,2021-04-30,340878.17,Active
A000322,C04263,B00101,Savings,2024-04-01,143353.86,Active
A000323,C00186,B00901,Premium Savings,2020-05-24,5759.07,Active
A000324,C04995,B00801,Salary,2023-03-13,202712.03,Active
A000325,C02610,B00701,Premium Savings,2022-03-01,0.0,Active
A000326,C00258,B00301,Savings,2022-05-12,297913.72,Active
A000327,C04520,B00901,Premium Savings,2020-06-09,209683.35,Active
A000328,C03042,B00901,Premium Savings,2023-07-31,216832.84,Active
A000329,C03802,B00101,Premium Savings,2021-01-03,173788.34,Active
A000330,C02797,B00901,Salary,2022-05-06,113411.86,Active
A000331,C04181,B00201,Savings,2021-09-25,243885.93,Active
A000332,C00842,B00301,Premium Savings,2020-09-11,45454.99,Active
A000333,C00739,B00901,Savings,2022-06-10,166628.06,Active
A000334,C00729,B00801,Premium Savings,2022-01-21,104097.83,Active
A000335,C02354,B00501,Premium Savings,2021-06-26,69588.98,Active
A000336,C01553,B00101,Savings,2022-04-24,132038.78,Active
A000337,C01279,B00301,Current,2023-08-05,186763.48,Active
A000338,C02187,B00201,Savings,2022-08-13,45432.32,Active
A000339,C00895,B00601,Salary,2022-06-02,88027.48,Active
A000340,C04285,B00901,Savings,2023-11-08,241066.04,Active
A000341,C02942,B01001,Premium Savings,2022-01-31,401614.15,Active
A000342,C02763,B00501,Savings,2022-05-20,71448.98,Active
A000343,C04329,B00301,Premium Savings,2023-08-16,295311.1,Active
A000344,C00955,B00201,Salary,2023-01-21,203383.26,Active
A000345,C02092,B00201,Current,2021-09-16,118970.44,Active
A000346,C03825,B00301,Current,2021-03-07,139439.91,Active
A000347,C03656,B00201,Premium Savings,2020-03-14,248261.72,Active
A000348,C01646,B00501,Current,2023-06-03,321027.48,Active
A000349,C03892,B00501,Savings,2022-12-11,92055.04,Active
A000350,C04882,B00401,Salary,2023-12-24,245470.08,Active
A000351,C04019,B00801,Salary,2020-02-26,258631.16,Active
A000352,C02983,B00401,Savings,2022-05-08,194924.35,Active
A000353,C04070,B00301,Current,2020-12-28,101189.63,Active
A000354,C03811,B01001,Salary,2023-09-08,219742.15,Active
A000355,C02521,B00901,Current,2020-01-30,0.0,Active
A000356,C01086,B00401,Salary,2024-08-24,43894.48,Active
A000357,C01794,B00401,Current,2023-08-01,220419.15,Active
A000358,C02316,B00901,Savings,2022-08-24,338371.17,Active
A000359,C04281,B00501,Premium Savings,2022-07-28,167642.29,Active
A000360,C04129,B00201,Current,2024-01-10,102617.7,Active
A000361,C01045,B01001,Salary,2020-04-04,212638.47,Active
A000362,C01467,B00701,Premium Savings,2021-05-27,214686.66,Active
A000363,C04215,B00201,Premium Savings,2024-01-09,175474.16,Active
A000364,C02506,B00601,Salary,2020-07-06,58906.48,Active
A000365,C00812,B00601,Salary,2022-07-16,522288.16,Active
A000366,C02596,B00901,Salary,2020-09-19,270949.11,Active
A000367,C03082,B00301,Savings,2021-11-14,241419.69,Active
A000368,C03463,B00601,Salary,2022-01-17,225167.35,Active
A000369,C01959,B00701,Premium Savings,2020-03-21,20947.17,Active
A000370,C00547,B00201,Premium Savings,2020-04-19,93648.07,Active
A000371,C01558,B00901,Savings,2023-03-30,261707.52,Active
A000372,C02971,B00801,Salary,2024-05-22,427141.61,Active
A000373,C02836,B00601,Savings,2023-01-12,291205.34,Active
A000374,C00379,B00601,Premium Savings,2023-11-05,158164.19,Active
A000375,C01870,B00101,Current,2021-07-01,174831.34,Active
A000376,C04735,B00601,Salary,2022-07-19,250222.5,Active
A000377,C00214,B00901,Premium Savings,2020-09-07,216875.33,Active
A000378,C04455,B00201,Current,2022-08-20,351318.49,Active
A000379,C02108,B00501,Savings,2020-09-24,125226.04,Active
A000380,C02231,B00401,Premium Savings,2024-02-16,59631.18,Active
A000381,C00364,B00601,Premium Savings,2020-03-13,0.0,Active
A000382,C03017,B00901,Premium Savings,2021-06-23,378015.98,Active
A000383,C01771,B00101,Savings,2023-02-19,279764.3,Active
A000384,C03247,B01001,Premium Savings,2021-06-25,214070.13,Active
A000385,C00488,B00201,Current,2024-03-12,166401.31,Active
A000386,C00674,B00701,Current,2024-09-17,112303.32,Active
A000387,C01627,B00401,Savings,2024-03-08,234568.02,Active
A000388,C01252,B00901,Savings,2021-03-26,318513.71,Active
A000389,C00665,B00601,Premium Savings,2024-11-16,241505.89,Active
A000390,C04074,B00601,Premium Savings,2024-05-24,300273.33,Active
A000391,C02520,B00501,Savings,2022-01-31,211331.33,Active
A000392,C04645,B01001,Current,2021-01-27,193076.96,Active
A000393,C02469,B00501,Salary,2024-11-25,57709.78,Active
A000394,C00177,B00301,Salary,2020-09-21,333461.94,Active
A000395,C01885,B00401,Salary,2020-04-29,252448.49,Active
A000396,C00426,B00201,Current,2023-06-29,242183.66,Active
A000397,C03088,B01001,Savings,2020-01-27,277506.97,Active
A000398,C03413,B00201,Current,2024-09-29,176013.44,Active
A000399,C00481,B00201,Current,2022-07-08,242695.22,Active
A000400,C00611,B00401,Current,2024-09-26,381486.51,Active
A000401,C01299,B00601,Current,2021-01-03,142188.91,Active
A000402,C03014,B00201,Premium Savings,2021-06-19,218226.67,Active
A000403,C03797,B00601,Premium Savings,2024-08-02,355680.98,Active
A000404,C00083,B00401,Savings,2020-01-08,130035.5,Active
A000405,C00441,B00401,Current,2023-11-15,0.0,Active
A000406,C04638,B00501,Premium Savings,2021-08-11,227273.82,Active
A000407,C02255,B00401,Premium Savings,2021-12-07,137849.4,Active
A000408,C03556,B00901,Savings,2021-07-01,345116.04,Active
A000409,C00734,B00601,Current,2020-08-04,252437.48,Active
A000410,C02188,B00501,Current,2024-02-12,318920.22,Active
A000411,C04815,B00501,Current,2023-04-03,82112.81,Active
A000412,C01824,B00601,Salary,2021-10-25,111747.57,Active
A000413,C01882,B00501,Salary,2022-02-07,228106.45,Active
A000414,C01940,B00501,Savings,2024-05-17,287256.48,Active
A000415,C01111,B00901,Premium Savings,2024-02-01,334972.85,Active
A000416,C01097,B00201,Salary,2021-08-08,120289.34,Active
A000417,C01678,B00901,Salary,2023-04-30,157243.65,Active
A000418,C03191,B00301,Premium Savings,2020-08-19,17933.11,Active
A000419,C02181,B00501,Salary,2020-02-27,51746.09,Active
A000420,C01986,B00601,Current,2023-07-04,208372.24,Active
A000421,C03468,B00601,Salary,2023-01-15,172278.03,Active
A000422,C00349,B00201,Savings,2020-04-25,343978.43,Active
A000423,C00059,B00701,Premium Savings,2023-12-19,123154.61,Active
A000424,C00069,B00401,Current,2020-05-26,250858.23,Active
A000425,C01524,B00601,Savings,2024-09-27,164682.51,Active
A000426,C00758,B00401,Savings,2022-11-18,144901.02,Active
A000427,C02324,B00301,Current,2022-09-07,145732.88,Active
A000428,C00922,B00401,Premium Savings,2024-02-24,271446.16,Active
A000429,C00706,B00301,Premium Savings,2021-12-16,246271.58,Active
A000430,C02379,B01001,Current,2022-08-10,97633.83,Active
A000431,C01395,B00301,Savings,2020-04-14,204494.44,Active
A000432,C04440,B00201,Salary,2023-07-31,0.0,Active
A000433,C04112,B00901,Premium Savings,2024-06-22,145593.0,Active
A000434,C00252,B00501,Savings,2022-11-04,0.0,Active
A000435,C01768,B00301,Current,2023-11-20,204867.94,Active
A000436,C02705,B00301,Savings,2023-11-01,307514.92,Active
A000437,C01156,B00901,Premium Savings,2022-10-09,257831.13,Active
A000438,C03629,B00801,Premium Savings,2021-08-19,163218.3,Active
A000439,C01788,B00301,Current,2023-11-10,386250.83,Active
A000440,C02722,B00501,Savings,2024-02-08,189873.26,Active
A000441,C00436,B00701,Current,2023-11-30,132899.74,Active
A000442,C01823,B00601,Premium Savings,2024-04-23,172688.96,Active
