customer_id,customer_name,age,gender,city,state,occupation,customer_segment,join_date
C00089,Customer 00089,43,Female,Lucknow,Uttar Pradesh,Self-Employed,Mass,2018-02-25
C00090,Customer 00090,65,Female,Pune,Maharashtra,Self-Employed,Mass Affluent,2018-07-17
C00091,Customer 00091,33,Male,Kolkata,West Bengal,Retired,Mass,2019-10-10
C00092,Customer 00092,56,Male,Bengaluru,Karnataka,Retired,Mass,2025-03-20
C00093,Customer 00093,28,Male,Visakhapatnam,Andhra Pradesh,Self-Employed,Mass,2024-01-16
C00094,Customer 00094,70,Male,Hyderabad,Telangana,Retired,Mass,2024-05-15
C00095,Customer 00095,34,Female,Vijayawada,Andhra Pradesh,Retired,Premium,2025-06-10
C00096,Customer 00096,40,Female,Warangal,Telangana,Student,Mass Affluent,2018-05-21
C00097,Customer 00097,23,Female,Noida,Uttar Pradesh,Student,Premium,2020-01-17
C00098,Customer 00098,70,Female,Hyderabad,Telangana,Business,Affluent,2023-12-14
C00099,Customer 00099,42,Female,Mysuru,Karnataka,Business,Affluent,2022-05-14
C00100,Customer 00100,28,Female,Mumbai,Maharashtra,Salaried,Premium,2023-06-17
C00101,Customer 00101,69,Male,Ahmedabad,Gujarat,Business,Mass Affluent,2022-05-19
C00102,Customer 00102,63,Female,Visakhapatnam,Andhra Pradesh,Salaried,Mass,2022-03-13
C00103,Customer 00103,61,Female,New Delhi,Delhi,Retired,Mass,2022-01-30
C00104,Customer 00104,52,Female,Chennai,Tamil Nadu,Business,Premium,2022-11-17
C00105,Customer 00105,48,Male,Bengaluru,Karnataka,Salaried,Mass,2020-06-10
C00106,Customer 00106,42,Male,Chennai,Tamil Nadu,Student,Mass,2020-10-15
C00107,Customer 00107,33,Female,Surat,Gujarat,Self-Employed,Premium,2022-02-19
C00108,Customer 00108,42,Female,Kolkata,West Bengal,Business,Mass,2025-08-14
C00109,Customer 00109,36,Female,Vijayawada,Andhra Pradesh,Retired,Mass Affluent,2022-04-05
C00110,Customer 00110,22,Female,Mysuru,Karnataka,Self-Employed,Mass Affluent,2024-11-13
C00111,Customer 00111,22,Male,Chennai,Tamil Nadu,Self-Employed,Affluent,2023-08-08
C00112,Customer 00112,31,Female,Jaipur,Rajasthan,Business,Affluent,2019-06-15
C00113,Customer 00113,24,Male,Jodhpur,Rajasthan,Salaried,Mass,2019-11-11
C00114,Customer 00114,69,Female,Kolkata,West Bengal,Salaried,Mass,2025-02-20
C00115,Customer 00115,32,Female,Ahmedabad,Gujarat,Business,Affluent,2022-08-21
C00116,Customer 00116,38,Female,New Delhi,Delhi,Student,Mass,2020-11-19
C00117,Customer 00117,65,Female,Kolkata,West Bengal,Self-Employed,Mass Affluent,2023-12-11
C00118,Customer 00118,34,Male,Surat,Gujarat,Business,Mass,2019-10-25
C00119,Customer 00119,23,Male,Warangal,Telangana,Self-Employed,Mass Affluent,2023-08-29
C00120,Customer 00120,22,Male,Hyderabad,Telangana,Retired,Mass Affluent,2025-08-29
C00121,Customer 00121,29,Female,Jaipur,Rajasthan,Self-Employed,Premium,2024-10-23
C00122,Customer 00122,32,Female,Chennai,Tamil Nadu,Business,Affluent,2021-08-29
C00123,Customer 00123,45,Female,Coimbatore,Tamil Nadu,Self-Employed,Mass,2021-05-10
C00124,Customer 00124,40,Female,Ahmedabad,Gujarat,Salaried,Mass,2024-12-05
C00125,Customer 00125,66,Male,Kolkata,West Bengal,Retired,Mass,2022-12-01
C00126,Customer 00126,52,Male,Warangal,Telangana,Student,Premium,2019-11-15
C00127,Customer 00127,60,Male,Jaipur,Rajasthan,Business,Mass,2023-11-05
C00128,Customer 00128,61,Male,Bengaluru,Karnataka,Salaried,Affluent,2024-06-09
C00129,Customer 00129,59,Female,New Delhi,Delhi,Student,Affluent,2020-12-22
C00130,Customer 00130,61,Male,Mysuru,Karnataka,Salaried,Mass Affluent,2019-08-06
C00131,Customer 00131,62,Female,Mysuru,Karnataka,Business,Premium,2021-12-14
C00132,Customer 00132,44,Male,New Delhi,Delhi,Self-Employed,Mass,2020-09-11
C00133,Customer 00133,51,Female,Kolkata,West Bengal,Self-Employed,Premium,2025-05-19
C00134,Customer 00134,38,Male,Jodhpur,Rajasthan,Business,Premium,2021-07-21
C00135,Customer 00135,55,Female,Noida,Uttar Pradesh,Business,Mass,2020-04-13
C00136,Customer 00136,27,Male,Bengaluru,Karnataka,Student,Mass Affluent,2022-10-01
C00137,Customer 00137,36,Female,Noida,Uttar Pradesh,Retired,Mass,2025-03-20
C00138,Customer 00138,57,Male,Visakhapatnam,Andhra Pradesh,Retired,Mass,2019-11-29
C00139,Customer 00139,61,Female,Hyderabad,Telangana,Student,Affluent,2020-12-05
C00140,Customer 00140,48,Male,Lucknow,Uttar Pradesh,Business,Mass,2022-03-24
C00141,Customer 00141,63,Female,New Delhi,Delhi,Student,Affluent,2021-03-05
C00142,Customer 00142,24,Female,Lucknow,Uttar Pradesh,Business,Mass Affluent,2021-10-28
C00143,Customer 00143,53,Male,Jodhpur,Rajasthan,Self-Employed,Mass Affluent,2020-08-17
C00144,Customer 00144,42,Male,Bengaluru,Karnataka,Retired,Mass,2019-12-09
C00145,Customer 00145,23,Male,Ahmedabad,Gujarat,Retired,Affluent,2024-09-27
C00146,Customer 00146,46,Female,Bengaluru,Karnataka,Student,Mass Affluent,2018-06-21
C00147,Customer 00147,32,Female,Bengaluru,Karnataka,Self-Employed,Affluent,2022-07-12
C00148,Customer 00148,28,Male,New Delhi,Delhi,Self-Employed,Premium,2019-02-11
C00149,Customer 00149,23,Male,Visakhapatnam,Andhra Pradesh,Business,Affluent,2024-02-28
C00150,Customer 00150,38,Male,New Delhi,Delhi,Salaried,Affluent,2023-11-18
C00151,Customer 00151,30,Female,Noida,Uttar Pradesh,Student,Premium,2018-12-30
C00152,Customer 00152,50,Female,Ahmedabad,Gujarat,Student,Affluent,2023-05-17
C00153,Customer 00153,47,Male,Mumbai,Maharashtra,Retired,Mass,2020-12-22
C00154,Customer 00154,37,Female,Coimbatore,Tamil Nadu,Retired,Premium,2022-10-14
C00155,Customer 00155,45,Female,Coimbatore,Tamil Nadu,Business,Mass,2022-01-23
C00156,Customer 00156,64,Female,Pune,Maharashtra,Salaried,Mass,2021-01-27
C00157,Customer 00157,52,Female,Vijayawada,Andhra Pradesh,Student,Mass Affluent,2021-09-11
C00158,Customer 00158,54,Female,New Delhi,Delhi,Self-Employed,Mass,2019-12-27
C00159,Customer 00159,33,Female,Jaipur,Rajasthan,Retired,Affluent,2024-02-26
C00160,Customer 00160,52,Male,Jodhpur,Rajasthan,Self-Employed,Premium,2018-12-22
C00161,Customer 00161,66,Female,Noida,Uttar Pradesh,Student,Mass,2020-07-18
C00162,Customer 00162,34,Male,Coimbatore,Tamil Nadu,Self-Employed,Mass,2018-07-30
C00163,Customer 00163,59,Male,Surat,Gujarat,Salaried,Premium,2022-07-04
C00164,Customer 00164,58,Female,Mumbai,Maharashtra,Self-Employed,Mass,2023-06-10
C00165,Customer 00165,43,Male,New Delhi,Delhi,Student,Mass Affluent,2025-05-02
C00166,Customer 00166,22,Male,Mumbai,Maharashtra,Student,Mass,2024-03-09
C00167,Customer 00167,41,Female,Noida,Uttar Pradesh,Retired,Mass,2021-01-10
C00168,Customer 00168,68,Female,Warangal,Telangana,Self-Employed,Mass Affluent,2018-06-21
C00169,Customer 00169,57,Male,Bengaluru,Karnataka,Retired,Mass Affluent,2019-10-25
C00170,Customer 00170,22,Male,New Delhi,Delhi,Student,Mass Affluent,2025-02-27
C00171,Customer 00171,45,Female,Visakhapatnam,Andhra Pradesh,Business,Affluent,2018-10-17
C00172,Customer 00172,36,Female,Kolkata,West Bengal,Salaried,Mass,2019-10-05
C00173,Customer 00173,58,Male,Kolkata,West Bengal,Retired,Mass,2018-03-03
C00174,Customer 00174,25,Male,Kolkata,West Bengal,Business,Mass,2018-06-15
C00175,Customer 00175,51,Male,Bengaluru,Karnataka,Business,Mass,2023-06-02
C00176,Customer 00176,30,Male,Ahmedabad,Gujarat,Business,Mass Affluent,2022-09-12
C00177,Customer 00177,44,Female,Pune,Maharashtra,Self-Employed,Mass Affluent,2024-09-24
C00178,Customer 00178,56,Male,Mysuru,Karnataka,Self-Employed,Mass Affluent,2023-12-06
C00179,Customer 00179,35,Female,Pune,Maharashtra,Self-Employed,Mass Affluent,2024-03-07
C00180,Customer 00180,57,Male,Hyderabad,Telangana,Self-Employed,Affluent,2023-07-15
C00181,Customer 00181,54,Male,New Delhi,Delhi,Student,Premium,2022-11-20
C00182,Customer 00182,54,Male,Chennai,Tamil Nadu,Student,Mass Affluent,2019-05-03
C00183,Customer 00183,41,Female,Jodhpur,Rajasthan,Salaried,Affluent,2021-03-10
C00184,Customer 00184,36,Female,Warangal,Telangana,Self-Employed,Affluent,2018-10-02
C00185,Customer 00185,50,Female,Surat,Gujarat,Self-Employed,Affluent,2022-11-24
C00186,Customer 00186,35,Male,Surat,Gujarat,Self-Employed,Premium,2024-11-16
C00187,Customer 00187,45,Male,Kolkata,West Bengal,Business,Mass,2019-09-08
C00188,Customer 00188,56,Female,Kolkata,West Bengal,Business,Affluent,2018-11-27
C00189,Customer 00189,40,Male,Coimbatore,Tamil Nadu,Salaried,Premium,2021-08-19
C00190,Customer 00190,64,Female,Surat,Gujarat,Salaried,Premium,2019-12-12
C00191,Customer 00191,40,Female,Warangal,Telangana,Self-Employed,Mass,2018-10-24
C00192,Customer 00192,36,Female,Hyderabad,Telangana,Retired,Mass,2025-08-22
C00193,Customer 00193,60,Male,New Delhi,Delhi,Student,Mass,2018-03-10
C00194,Customer 00194,64,Female,Lucknow,Uttar Pradesh,Retired,Affluent,2018-05-24
C00195,Customer 00195,64,Female,Mysuru,Karnataka,Self-Employed,Premium,2019-07-19
C00196,Customer 00196,57,Female,Hyderabad,Telangana,Self-Employed,Mass,2021-06-25
C00197,Customer 00197,40,Male,Lucknow,Uttar Pradesh,Business,Affluent,2022-06-12
C00198,Customer 00198,70,Female,Visakhapatnam,Andhra Pradesh,Business,Affluent,2025-03-16
C00199,Customer 00199,35,Male,Warangal,Telangana,Business,Mass,2023-06-02
C00200,Customer 00200,39,Female,Kolkata,West Bengal,Retired,Affluent,2019-01-05
C00201,Customer 00201,40,Male,Lucknow,Uttar Pradesh,Business,Affluent,2022-10-05
C00202,Customer 00202,21,Male,Visakhapatnam,Andhra Pradesh,Retired,Mass Affluent,2022-11-07
C00203,Customer 00203,40,Female,Hyderabad,Telangana,Student,Mass,2022-05-27
C00204,Customer 00204,43,Male,Vijayawada,Andhra Pradesh,Self-Employed,Mass,2020-01-26
C00205,Customer 00205,61,Female,Mysuru,Karnataka,Salaried,Premium,2020-11-28
C00206,Customer 00206,30,Male,Kolkata,West Bengal,Salaried,Mass Affluent,2022-11-15
C00207,Customer 00207,44,Female,Visakhapatnam,Andhra Pradesh,Self-Employed,Mass,2022-02-02
C00208,Customer 00208,41,Male,Coimbatore,Tamil Nadu,Business,Affluent,2018-09-14
C00209,Customer 00209,48,Male,Mumbai,Maharashtra,Retired,Affluent,2022-08-28
C00210,Customer 00210,56,Female,Warangal,Telangana,Student,Mass,2024-12-02
C00211,Customer 00211,62,Male,New Delhi,Delhi,Salaried,Mass,2022-12-27
C00212,Customer 00212,67,Female,Kolkata,West Bengal,Retired,Mass,2021-05-18
C00213,Customer 00213,38,Male,Lucknow,Uttar Pradesh,Salaried,Mass,2018-09-26
C00214,Customer 00214,62,Female,Chennai,Tamil Nadu,Student,Mass,2019-02-05
C00215,Customer 00215,54,Male,Jodhpur,Rajasthan,Business,Mass,2024-10-23
C00216,Customer 00216,43,Female,Kolkata,West Bengal,Student,Mass,2018-04-26
C00217,Customer 00217,33,Female,Coimbatore,Tamil Nadu,Business,Mass,2020-04-16
C00218,Customer 00218,29,Male,Bengaluru,Karnataka,Business,Mass Affluent,2020-01-25
C00219,Customer 00219,53,Female,Noida,Uttar Pradesh,Retired,Mass,2019-05-17
C00220,Customer 00220,57,Male,Coimbatore,Tamil Nadu,Salaried,Affluent,2022-01-10
C00221,Customer 00221,50,Male,Mysuru,Karnataka,Retired,Premium,2024-08-16
C00222,Customer 00222,28,Female,Kolkata,West Bengal,Retired,Mass,2018-06-30
C00223,Customer 00223,54,Male,New Delhi,Delhi,Self-Employed,Mass,2021-03-31
C00224,Customer 00224,42,Male,Pune,Maharashtra,Retired,Mass,2021-02-08
C00225,Customer 00225,67,Male,Surat,Gujarat,Salaried,Mass Affluent,2024-10-04
C00226,Customer 00226,44,Male,New Delhi,Delhi,Retired,Premium,2021-04-26
C00227,Customer 00227,41,Male,Visakhapatnam,Andhra Pradesh,Student,Premium,2023-03-30
C00228,Customer 00228,35,Male,Pune,Maharashtra,Self-Employed,Mass,2018-04-25
C00229,Customer 00229,25,Male,Hyderabad,Telangana,Student,Affluent,2025-05-06
C00230,Customer 00230,46,Female,Noida,Uttar Pradesh,Student,Affluent,2025-07-02
C00231,Customer 00231,60,Male,Bengaluru,Karnataka,Self-Employed,Premium,2023-12-24
C00232,Customer 00232,60,Male,Lucknow,Uttar Pradesh,Business,Affluent,2020-09-26
C00233,Customer 00233,23,Male,Chennai,Tamil Nadu,Self-Employed,Affluent,2022-03-19
C00234,Customer 00234,36,Female,New Delhi,Delhi,Student,Premium,2019-06-20
C00235,Customer 00235,50,Female,Bengaluru,Karnataka,Self-Employed,Premium,2018-02-13
C00236,Customer 00236,27,Male,Jaipur,Rajasthan,Student,Affluent,2019-01-04
C00237,Customer 00237,24,Female,Visakhapatnam,Andhra Pradesh,Business,Mass,2019-12-01
C00238,Customer 00238,59,Male,Vijayawada,Andhra Pradesh,Retired,Mass,2021-05-05
C00239,Customer 00239,35,Male,Pune,Maharashtra,Salaried,Mass,2024-07-07
C00240,Customer 00240,52,Female,New Delhi,Delhi,Retired,Affluent,2020-06-03
C00241,Customer 00241,63,Female,Noida,Uttar Pradesh,Retired,Mass Affluent,2023-04-23
C00242,Customer 00242,23,Male,Surat,Gujarat,Retired,Mass,2021-10-04
C00243,Customer 00243,42,Female,Jaipur,Rajasthan,Student,Mass,2021-05-13
C00244,Customer 00244,26,Female,Jaipur,Rajasthan,Business,Mass,2023-07-19
C00245,Customer 00245,60,Male,Kolkata,West Bengal,Salaried,Mass,2020-02-02
C00246,Customer 00246,68,Female,New Delhi,Delhi,Salaried,Mass,2025-01-04
C00247,Customer 00247,59,Female,Kolkata,West Bengal,Student,Premium,2019-12-25
C00248,Customer 00248,28,Female,Kolkata,West Bengal,Business,Premium,2019-01-04
C00249,Customer 00249,43,Female,New Delhi,Delhi,Self-Employed,Mass,2018-07-18
C00250,Customer 00250,22,Male,Bengaluru,Karnataka,Retired,Affluent,2021-12-25
C00251,Customer 00251,37,Female,Vijayawada,Andhra Pradesh,Salaried,Mass Affluent,2019-12-14
C00252,Customer 00252,56,Male,Kolkata,West Bengal,Student,Mass Affluent,2020-01-09
C00253,Customer 00253,68,Male,Ahmedabad,Gujarat,Salaried,Affluent,2025-05-02
C00254,Customer 00254,29,Male,Kolkata,West Bengal,Salaried,Mass Affluent,2018-08-21
C00255,Customer 00255,27,Female,Kolkata,West Bengal,Self-Employed,Mass,2022-05-17
C00256,Customer 00256,41,Female,Lucknow,Uttar Pradesh,Salaried,Mass Affluent,2018-08-27
C00257,Customer 00257,24,Female,Vijayawada,Andhra Pradesh,Student,Mass Affluent,2024-03-01
C00258,Customer 00258,70,Male,Mysuru,Karnataka,Student,Mass,2020-01-16
C00259,Customer 00259,69,Male,Jodhpur,Rajasthan,Retired,Mass Affluent,2023-03-22
C00260,Customer 00260,30,Female,Ahmedabad,Gujarat,Student,Premium,2025-08-13
C00261,Customer 00261,28,Male,Vijayawada,Andhra Pradesh,Salaried,Mass Affluent,2024-11-15
C00262,Customer 00262,68,Male,Ahmedabad,Gujarat,Business,Premium,2022-04-09
C00263,Customer 00263,29,Male,Vijayawada,Andhra Pradesh,Self-Employed,Mass Affluent,2020-01-12
C00264,Customer 00264,58,Male,Ahmedabad,Gujarat,Retired,Mass,2022-03-02
C00265,Customer 00265,22,Male,Hyderabad,Telangana,Retired,Mass Affluent,2024-10-12
C00266,Customer 00266,48,Female,Ahmedabad,Gujarat,Business,Premium,2018-03-27
C00267,Customer 00267,57,Male,Coimbatore,Tamil Nadu,Salaried,Mass,2019-11-10
C00268,Customer 00268,47,Male,Mysuru,Karnataka,Self-Employed,Affluent,2022-01-17
C00269,Customer 00269,49,Female,Coimbatore,Tamil Nadu,Business,Affluent,2019-06-26
C00270,Customer 00270,60,Male,Noida,Uttar Pradesh,Retired,Mass Affluent,2019-01-25
C00271,Customer 00271,51,Female,Surat,Gujarat,Student,Premium,2021-10-30
C00272,Customer 00272,55,Male,Bengaluru,Karnataka,Business,Mass,2020-08-27
C00273,Customer 00273,51,Male,Visakhapatnam,Andhra Pradesh,Self-Employed,Mass,2022-11-29
C00274,Customer 00274,22,Male,Vijayawada,Andhra Pradesh,Self-Employed,Affluent,2019-09-21
C00275,Customer 00275,45,Male,Coimbatore,Tamil Nadu,Student,Mass Affluent,2018-05-29
C00276,Customer 00276,68,Female,Chennai,Tamil Nadu,Business,Affluent,2021-01-29
C00277,Customer 00277,39,Male,Lucknow,Uttar Pradesh,Student,Premium,2019-03-29
C00278,Customer 00278,32,Female,Visakhapatnam,Andhra Pradesh,Student,Premium,2018-10-22
C00279,Customer 00279,56,Female,Hyderabad,Telangana,Student,Mass,2023-03-03
C00280,Customer 00280,28,Female,Noida,Uttar Pradesh,Student,Mass,2023-11-30
C00281,Customer 00281,36,Female,Lucknow,Uttar Pradesh,Salaried,Mass Affluent,2023-04-25
C00282,Customer 00282,57,Male,Kolkata,West Bengal,Salaried,Mass,2023-02-01
C00283,Customer 00283,48,Male,Lucknow,Uttar Pradesh,Student,Mass Affluent,2020-12-22
C00284,Customer 00284,64,Male,Warangal,Telangana,Self-Employed,Mass,2018-12-17
C00285,Customer 00285,69,Female,Kolkata,West Bengal,Retired,Premium,2021-10-03
C00286,Customer 00286,31,Male,Hyderabad,Telangana,Self-Employed,Mass Affluent,2021-10-12
C00287,Customer 00287,52,Female,Coimbatore,Tamil Nadu,Self-Employed,Mass Affluent,2022-03-23
C00288,Customer 00288,65,Female,Lucknow,Uttar Pradesh,Retired,Mass,2025-02-09
C00289,Customer 00289,54,Male,Jodhpur,Rajasthan,Business,Mass,2024-05-27
C00290,Customer 00290,60,Male,Coimbatore,Tamil Nadu,Business,Affluent,2021-07-02
C00291,Customer 00291,40,Female,Warangal,Telangana,Retired,Affluent,2022-03-24
C00292,Customer 00292,38,Female,Mumbai,Maharashtra,Salaried,Affluent,2020-01-19
C00293,Customer 00293,33,Female,Jaipur,Rajasthan,Salaried,Mass,2018-09-21
C00294,Customer 00294,60,Male,Kolkata,West Bengal,Student,Mass,2023-11-28
C00295,Customer 00295,35,Male,Coimbatore,Tamil Nadu,Salaried,Mass,2023-09-08
C00296,Customer 00296,68,Female,Ahmedabad,Gujarat,Student,Affluent,2019-05-30
C00297,Customer 00297,66,Male,Chennai,Tamil Nadu,Self-Employed,Affluent,2024-02-01
C00298,Customer 00298,57,Female,Coimbatore,Tamil Nadu,Business,Mass,2023-10-28
C00299,Customer 00299,26,Male,Visakhapatnam,Andhra Pradesh,Student,Mass,2021-01-05
C00300,Customer 00300,46,Female,Warangal,Telangana,Salaried,Mass,2021-08-11
C00301,Customer 00301,50,Female,Lucknow,Uttar Pradesh,Self-Employed,Mass,2025-02-26
C00302,Customer 00302,44,Male,Kolkata,West Bengal,Business,Mass Affluent,2019-09-06
C00303,Customer 00303,28,Female,Mysuru,Karnataka,Student,Mass,2025-02-08
C00304,Customer 00304,64,Male,Visakhapatnam,Andhra Pradesh,Student,Premium,2025-02-20
