loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,term_months,start_date,loan_status
L00136,C00753,B00801,Personal Loan,1858171.31,13.11,24,2024-05-16,Active
L00137,C03970,B00801,Auto Loan,959368.88,12.08,48,2023-01-18,Overdue
L00138,C04379,B00101,Business Loan,3302938.21,15.37,60,2023-04-01,Active
L00139,C01271,B01001,Personal Loan,984138.62,13.3,12,2025-07-31,Active
L00140,C02979,B01001,Home Loan,4594230.05,9.29,60,2025-05-26,Overdue
L00141,C03696,B00501,Auto Loan,1049543.33,13.06,48,2023-11-27,Overdue
L00142,C00111,B00901,Personal Loan,4192630.98,8.16,60,2023-07-31,Active
L00143,C00725,B00301,Personal Loan,3366732.12,14.54,12,2023-03-22,Active
L00144,C00937,B00401,Business Loan,4781091.44,8.83,84,2024-12-02,Closed
L00145,C04914,B00401,Education Loan,3006005.48,15.0,120,2024-06-04,Closed
L00146,C01338,B00601,Education Loan,1804510.79,12.28,120,2023-12-16,Active
L00147,C00499,B00601,Business Loan,2609429.75,8.76,84,2025-05-26,Active
L00148,C04026,B00401,Auto Loan,1327839.76,13.47,12,2023-05-30,Active
L00149,C03652,B00901,Auto Loan,4665250.89,11.2,24,2023-05-02,Active
L00150,C04722,B00301,Auto Loan,1061137.3,12.99,12,2023-04-01,Active
L00151,C00013,B00901,Business Loan,1750520.17,8.07,60,2024-02-17,Active
L00152,C00322,B00101,Education Loan,4648344.81,12.17,48,2024-11-12,Active
L00153,C03332,B00501,Business Loan,4747355.06,8.77,36,2025-03-14,Closed
L00154,C04783,B01001,Home Loan,3599370.26,8.51,84,2023-01-12,Overdue
L00155,C04103,B00501,Personal Loan,4238565.64,9.05,12,2023-11-23,Active
L00156,C03631,B00401,Home Loan,2712355.64,12.35,24,2024-10-20,Active
L00157,C01050,B00901,Business Loan,3100606.2,8.04,24,2024-02-26,Active
L00158,C01515,B00301,Education Loan,1749643.51,11.75,12,2023-09-22,Active
L00159,C00262,B01001,Personal Loan,1846127.6,8.15,12,2024-11-27,Closed
L00160,C02313,B00301,Personal Loan,2836930.89,8.34,12,2023-10-14,Closed
L00161,C02646,B00301,Personal Loan,2875211.99,8.1,36,2025-07-27,Overdue
L00162,C04006,B00401,Auto Loan,1986119.11,14.55,12,2024-06-04,Closed
L00163,C02035,B00401,Personal Loan,3272540.48,9.17,120,2024-02-19,Active
L00164,C02690,B00901,Auto Loan,838793.54,14.87,36,2024-08-03,Active
L00165,C00026,B00601,Home Loan,3381502.08,14.72,180,2023-06-22,Overdue
L00166,C01847,B00101,Home Loan,4466785.53,9.99,84,2025-09-03,Overdue
L00167,C02408,B00401,Business Loan,943540.5,13.46,60,2023-01-10,Overdue
L00168,C00608,B00601,Home Loan,500131.16,8.95,180,2024-01-20,Active
L00169,C03569,B00101,Business Loan,1412252.86,8.34,84,2025-05-18,Active
L00170,C03521,B00401,Business Loan,4765368.98,13.2,24,2025-02-03,Active
L00171,C02309,B00601,Home Loan,2574211.58,13.02,24,2023-02-21,Active
L00172,C02894,B00101,Education Loan,1634460.9,14.61,180,2023-11-24,Active
L00173,C02696,B00301,Auto Loan,3769144.09,9.86,180,2025-03-21,Closed
L00174,C03413,B01001,Business Loan,2843009.84,12.47,60,2023-04-08,Active
L00175,C04998,B00501,Education Loan,1339929.99,8.47,24,2024-06-13,Active
L00176,C04406,B00201,Business Loan,595612.99,15.38,48,2024-11-17,Active
L00177,C02238,B00201,Auto Loan,4326966.96,8.02,12,2024-04-05,Closed
L00178,C01417,B00101,Business Loan,4801742.5,13.69,36,2025-01-17,Active
L00179,C02807,B00601,Personal Loan,336324.94,8.5,36,2024-02-09,Active
L00180,C02742,B00501,Education Loan,4586472.22,11.15,84,2023-10-16,Active
L00181,C04586,B00401,Home Loan,2105705.03,11.47,120,2025-05-13,Active
L00182,C04077,B00501,Personal Loan,3063835.41,9.12,48,2025-01-18,Overdue
L00183,C00243,B00801,Home Loan,1866648.0,13.75,36,2023-10-18,Active
L00184,C01929,B01001,Auto Loan,1173633.69,8.14,36,2023-04-16,Closed
L00185,C04587,B00301,Business Loan,2631366.78,14.3,180,2023-05-15,Active
L00186,C04711,B00101,Personal Loan,4278066.52,8.75,36,2023-09-11,Overdue
L00187,C03098,B01001,Education Loan,2788083.71,13.44,12,2024-11-18,Active
L00188,C03770,B00601,Business Loan,4907167.9,14.24,180,2023-10-16,Closed
L00189,C03281,B00901,Education Loan,3346899.81,15.43,180,2024-05-19,Overdue
L00190,C02385,B00501,Auto Loan,3976587.19,11.29,36,2023-02-26,Active
L00191,C02855,B00501,Personal Loan,4970366.23,10.93,12,2023-08-12,Active
L00192,C04437,B00901,Home Loan,3038712.12,10.11,84,2023-04-08,Active
L00193,C02288,B01001,Auto Loan,1672798.57,12.62,48,2025-06-01,Active
L00194,C00761,B00101,Home Loan,3404786.82,8.67,180,2025-08-08,Active
L00195,C01468,B00701,Business Loan,3278156.69,10.11,120,2025-08-20,Closed
L00196,C01745,B00901,Education Loan,2216266.62,12.79,24,2023-07-04,Active
L00197,C03688,B00501,Education Loan,1198296.24,11.98,84,2023-04-01,Active
L00198,C00190,B01001,Business Loan,282300.12,14.13,84,2024-02-29,Closed
L00199,C04908,B00401,Education Loan,2391402.78,14.3,120,2023-12-15,Active
L00200,C04324,B00601,Home Loan,1038587.5,13.21,36,2024-01-16,Overdue
L00201,C03104,B00601,Auto Loan,2680268.46,13.78,24,2023-06-27,Active
L00202,C02011,B00401,Business Loan,4046211.23,14.23,60,2024-04-15,Overdue
L00203,C00515,B00601,Auto Loan,3983392.99,13.78,12,2025-03-10,Overdue
L00204,C04359,B00101,Home Loan,4085510.71,12.04,84,2025-06-03,Active
L00205,C03264,B00701,Business Loan,768437.83,13.63,24,2024-01-10,Closed
L00206,C01781,B00701,Education Loan,1768922.19,15.45,12,2023-04-23,Active
L00207,C04209,B00601,Education Loan,1624569.26,14.26,120,2023-07-08,Active
L00208,C00355,B00501,Home Loan,3306439.0,12.51,84,2024-08-02,Active
L00209,C01800,B00301,Personal Loan,1643606.54,9.32,84,2025-08-23,Overdue
L00210,C02671,B00201,Personal Loan,1571630.53,11.26,84,2024-10-13,Active
L00211,C02771,B00801,Business Loan,2815837.75,8.37,180,2024-06-09,Active
L00212,C00358,B00401,Auto Loan,763485.67,14.84,36,2025-07-08,Active
L00213,C03853,B00401,Personal Loan,857883.04,15.0,24,2023-03-23,Closed
L00214,C00598,B01001,Personal Loan,4292789.24,9.99,60,2024-08-27,Active
L00215,C02904,B00101,Business Loan,4326803.78,9.86,48,2023-09-25,Active
L00216,C00731,B00501,Auto Loan,4291759.01,15.45,120,2025-06-12,Overdue
L00217,C03873,B00901,Personal Loan,2364895.96,11.82,120,2025-05-26,Overdue
L00218,C04686,B00701,Business Loan,4702034.01,13.18,36,2024-07-05,Overdue
L00219,C04852,B00501,Business Loan,2952284.84,13.03,120,2024-10-08,Overdue
L00220,C00529,B00701,Business Loan,3845134.41,14.21,120,2023-04-28,Active
L00221,C03828,B00901,Auto Loan,1747458.43,11.48,36,2025-01-28,Overdue
L00222,C02119,B00201,Personal Loan,3490312.98,12.61,12,2024-12-20,Overdue
L00223,C01754,B00501,Business Loan,1194720.05,13.37,180,2024-12-22,Active
L00224,C03475,B00101,Personal Loan,3182741.14,13.66,120,2025-01-02,Overdue
L00225,C04505,B00501,Auto Loan,1203262.79,9.25,84,2024-10-02,Overdue
L00226,C04168,B00401,Education Loan,2278827.3,11.84,24,2023-01-07,Active
L00227,C00913,B00501,Personal Loan,984245.7,7.71,24,2025-04-25,Active
L00228,C04317,B00201,Auto Loan,1282043.95,15.03,48,2024-12-20,Overdue
L00229,C03372,B00601,Personal Loan,2957464.12,8.15,24,2023-08-12,Active
L00230,C04159,B00201,Personal Loan,3034914.69,14.79,120,2024-05-14,Active
L00231,C01809,B00201,Education Loan,1887864.89,10.5,120,2023-01-14,Active
L00232,C02421,B00301,Business Loan,2353186.86,8.66,36,2023-07-30,Overdue
L00233,C02942,B00201,Auto Loan,3267127.49,14.95,120,2024-09-26,Active
L00234,C00411,B00501,Business Loan,1886321.5,14.83,120,2024-08-01,Active
L00235,C01767,B00101,Education Loan,2256867.18,8.42,12,2024-07-18,Overdue
L00236,C03250,B00601,Auto Loan,4684189.53,9.96,120,2025-04-28,Active
L00237,C03846,B00101,Auto Loan,1073213.61,7.64,12,2025-06-09,Active
L00238,C03843,B00501,Home Loan,1549323.34,13.56,24,2024-11-18,Active
L00239,C01167,B00501,Business Loan,3293373.81,11.53,120,2025-06-08,Active
L00240,C00383,B00101,Education Loan,4592910.2,10.54,24,2024-03-23,Active
L00241,C02049,B00301,Education Loan,3183787.86,9.85,12,2023-01-17,Closed
L00242,C02591,B01001,Education Loan,1646206.57,12.65,48,2025-05-28,Active
L00243,C03135,B00801,Personal Loan,3815225.54,12.25,60,2025-05-20,Overdue
L00244,C00054,B00401,Home Loan,3787158.09,10.43,24,2023-11-29,Active
L00245,C03073,B01001,Education Loan,1346462.93,9.22,12,2023-01-07,Overdue
L00246,C00404,B00401,Personal Loan,4629575.23,9.71,84,2025-01-01,Overdue
L00247,C01601,B00401,Auto Loan,468171.19,7.89,24,2025-06-29,Overdue
L00248,C00078,B00201,Business Loan,3157856.91,11.23,12,2025-06-03,Overdue
L00249,C01157,B00201,Education Loan,370951.24,12.59,12,2025-06-23,Overdue
L00250,C04186,B00301,Personal Loan,1052402.04,11.66,120,2023-11-17,Active
L00251,C02680,B00601,Home Loan,2427601.31,8.23,180,2023-01-19,Closed
L00252,C03942,B00201,Education Loan,4434946.32,14.88,60,2024-05-19,Overdue
L00253,C02878,B01001,Education Loan,635588.99,12.02,120,2023-06-06,Active
L00254,C01322,B00201,Home Loan,4251108.22,9.96,48,2025-07-08,Overdue
L00255,C00062,B00401,Business Loan,2515720.51,13.61,180,2025-01-18,Active
L00256,C02843,B00501,Personal Loan,3185528.96,12.71,48,2024-07-12,Active
L00257,C00838,B00501,Education Loan,594861.15,8.46,120,2025-01-14,Active
L00258,C02499,B00901,Education Loan,4795099.2,12.53,120,2025-08-31,Overdue
L00259,C00108,B00501,Home Loan,3081012.29,7.54,12,2025-06-02,Active
L00260,C02601,B00901,Home Loan,4527411.22,8.71,24,2024-07-07,Closed
L00261,C02575,B01001,Personal Loan,2293311.34,8.41,180,2023-10-08,Active
L00262,C02176,B00401,Education Loan,2547907.07,7.56,48,2024-03-28,Active
L00263,C04840,B00601,Auto Loan,2328857.73,9.51,12,2025-07-30,Active
L00264,C00334,B00501,Education Loan,1808279.16,10.53,84,2024-08-27,Closed
L00265,C00488,B00601,Personal Loan,1348504.75,11.28,120,2024-12-06,Closed
L00266,C00323,B00901,Business Loan,4135072.92,9.41,48,2025-07-09,Active
L00267,C00928,B00301,Business Loan,2379131.72,13.32,12,2023-11-02,Closed
L00268,C03125,B00801,Education Loan,4356781.22,9.36,48,2023-12-29,Overdue
L00269,C01422,B00401,Business Loan,3966489.45,14.72,24,2023-06-12,Overdue
L00270,C04017,B00901,Home Loan,4496767.25,8.39,84,2024-10-15,Closed
L00271,C00078,B00401,Auto Loan,4725800.9,11.13,84,2023-06-16,Closed
L00272,C02330,B00601,Home Loan,863488.88,11.44,48,2023-04-27,Active
L00273,C04629,B00401,Education Loan,2433348.82,15.41,120,2023-10-17,Overdue
L00274,C03338,B00301,Auto Loan,1224087.72,12.6,48,2023-08-05,Overdue
L00275,C02267,B00201,Home Loan,3872295.4,8.89,180,2023-05-25,Active
L00276,C03124,B00101,Business Loan,1583382.36,8.53,84,2024-02-07,Active
L00277,C04036,B00501,Personal Loan,1524538.69,15.4,12,2024-07-09,Active
L00278,C01856,B00801,Home Loan,1637241.89,12.72,120,2024-07-24,Active
L00279,C04057,B00601,Home Loan,1333013.89,11.81,24,2025-09-16,Active
L00280,C02719,B00101,Personal Loan,4986137.65,13.98,24,2023-06-14,Active
L00281,C02811,B01001,Auto Loan,932924.68,8.35,12,2023-01-15,Active
L00282,C00728,B00201,Home Loan,2502779.89,8.68,180,2025-02-21,Active
L00283,C02056,B00401,Education Loan,3874483.53,10.37,180,2023-04-18,Closed
L00284,C03841,B00201,Education Loan,3740253.45,14.58,84,2024-08-21,Overdue
L00285,C03452,B00101,Personal Loan,609847.74,7.84,24,2025-03-29,Overdue
L00286,C00402,B00601,Personal Loan,1541520.97,9.85,84,2025-08-27,Closed
L00287,C00285,B00101,Auto Loan,3743032.49,9.81,24,2024-07-10,Active
L00288,C02880,B00801,Home Loan,96436.91,9.75,120,2023-10-21,Active
L00289,C04102,B00401,Education Loan,4266618.56,15.35,12,2025-08-10,Active
L00290,C04547,B00601,Auto Loan,1777935.64,9.72,48,2025-04-19,Active
L00291,C04961,B00901,Auto Loan,1796553.69,13.66,84,2024-09-27,Overdue
L00292,C03584,B00101,Personal Loan,4608384.18,12.72,24,2024-03-05,Closed
L00293,C00911,B00801,Personal Loan,3291848.61,10.89,36,2024-10-08,Active
L00294,C04879,B01001,Education Loan,4594232.27,11.75,120,2024-10-21,Active
L00295,C03526,B00101,Personal Loan,4037802.07,14.08,24,2025-04-29,Overdue
L00296,C04750,B00401,Auto Loan,4183675.13,11.08,36,2025-02-21,Active
L00297,C04413,B00201,Business Loan,3836586.3,12.23,24,2023-03-03,Closed
L00298,C02202,B01001,Auto Loan,4685895.73,13.3,180,2025-05-14,Overdue
L00299,C02912,B00101,Home Loan,1502262.05,10.19,180,2024-06-22,Closed
L00300,C01069,B00601,Business Loan,2234760.02,7.54,84,2023-06-26,Active
L00301,C02438,B00701,Education Loan,2982998.48,11.49,24,2023-08-12,Closed
L00302,C00954,B01001,Home Loan,3792207.25,15.09,24,2025-05-26,Active
L00303,C02118,B00601,Auto Loan,4679434.98,12.74,24,2023-03-26,Overdue
L00304,C02189,B00701,Personal Loan,3200667.54,10.56,12,2024-05-13,Active
L00305,C03166,B01001,Education Loan,4601657.59,15.08,24,2025-04-02,Overdue
L00306,C01321,B00401,Business Loan,2045788.8,10.21,180,2023-01-23,Active
L00307,C04128,B00601,Auto Loan,402755.05,8.04,60,2024-08-08,Active
L00308,C01451,B00901,Home Loan,3805701.74,9.73,12,2024-07-26,Active
L00309,C03920,B00201,Personal Loan,4182808.3,10.04,48,2025-02-14,Active
L00310,C00167,B00701,Auto Loan,533949.54,12.08,84,2025-07-03,Active
L00311,C01241,B00101,Business Loan,1765734.04,14.84,180,2023-05-31,Active
L00312,C02596,B00901,Personal Loan,3365844.99,7.64,24,2024-03-01,Active
L00313,C02128,B00801,Education Loan,474353.57,8.02,84,2024-01-15,Active
L00314,C04455,B00301,Education Loan,1559039.41,13.93,36,2024-01-26,Active
L00315,C04510,B00701,Education Loan,882979.55,15.32,24,2023-02-16,Active
L00316,C00106,B00801,Auto Loan,1659926.09,11.12,120,2024-01-14,Closed
L00317,C02143,B00401,Personal Loan,4746898.7,9.1,12,2025-05-15,Closed
L00318,C03107,B00301,Business Loan,4311446.66,8.17,24,2025-06-17,Overdue
L00319,C04096,B00401,Business Loan,645408.73,15.22,12,2024-07-26,Overdue
L00320,C02300,B01001,Auto Loan,2275741.24,13.59,120,2024-12-21,Active
L00321,C04558,B00301,Home Loan,331349.92,12.55,36,2023-07-15,Overdue
L00322,C01849,B00601,Auto Loan,4107631.57,9.84,120,2023-05-20,Overdue
L00323,C02801,B00901,Education Loan,4680134.39,11.87,180,2023-07-06,Active
L00324,C03794,B00501,Education Loan,2241935.86,11.21,60,2024-09-13,Closed
L00325,C03344,B00201,Auto Loan,2408056.33,8.05,12,2025-01-28,Closed
L00326,C03272,B00601,Auto Loan,3451301.38,9.63,84,2023-05-29,Active
L00327,C00232,B00801,Personal Loan,1789807.18,8.91,36,2024-10-01,Closed
L00328,C01028,B00501,Business Loan,221462.62,10.63,180,2023-05-08,Active
L00329,C04001,B00801,Education Loan,3161401.73,11.62,36,2023-04-18,Active
L00330,C04931,B01001,Personal Loan,2536608.2,13.7,120,2023-07-19,Active
L00331,C04157,B00301,Business Loan,564641.33,14.79,84,2025-06-27,Active
L00332,C00751,B00301,Business Loan,2293174.06,8.29,12,2024-12-27,Active
L00333,C01836,B00901,Home Loan,4799791.32,11.4,48,2023-07-20,Closed
L00334,C04521,B00601,Education Loan,3072732.71,10.16,48,2025-08-19,Active
L00335,C03844,B00601,Auto Loan,4166600.55,8.96,48,2024-04-25,Closed
L00336,C04584,B00101,Home Loan,881111.11,11.63,12,2024-04-02,Closed
L00337,C01651,B00801,Business Loan,3274791.51,14.19,120,2023-06-27,Active
L00338,C01698,B00501,Personal Loan,505607.37,13.86,24,2023-10-31,Active
L00339,C01172,B00601,Business Loan,1134144.89,8.17,84,2024-03-11,Active
L00340,C00755,B00101,Personal Loan,1397818.78,11.85,24,2024-02-29,Closed
