transaction_id,account_id,transaction_date,transaction_type,transaction_amount,channel,transaction_status
T0000030,A003768,2025-07-15 02:00:00,Withdrawal,10576.55,Internet Banking,Completed
T0000031,A003085,2025-05-27 17:00:00,UPI,1073.7,Internet Banking,Completed
T0000032,A003630,2025-10-12 03:00:00,Transfer,3547.22,POS,Completed
T0000033,A000308,2025-04-20 05:00:00,UPI,33695.25,Branch,Completed
T0000034,A002276,2025-05-31 19:00:00,ATM Withdrawal,11142.24,Mobile App,Completed
T0000035,A005051,2025-10-09 19:00:00,Card Payment,5836.12,Branch,Completed
T0000036,A006436,2025-08-26 13:00:00,Card Payment,2127.09,ATM,Failed
T0000037,A004236,2025-07-28 15:00:00,Transfer,6435.68,Internet Banking,Failed
T0000038,A006229,2025-01-20 22:00:00,UPI,49688.47,Internet Banking,Completed
T0000039,A001215,2025-06-02 14:00:00,ATM Withdrawal,3459.4,POS,Completed
T0000040,A004659,2025-04-19 20:00:00,Withdrawal,11002.58,POS,Failed
T0000041,A002607,2025-10-11 02:00:00,Deposit,16643.23,Branch,Completed
T0000042,A003252,2025-11-20 09:00:00,ATM Withdrawal,4680.09,ATM,Completed
T0000043,A003311,2025-09-13 08:00:00,Deposit,2947.24,ATM,Completed
T0000044,A005638,2025-01-13 13:00:00,Deposit,2199.14,ATM,Failed
T0000045,A002573,2025-11-17 06:00:00,Transfer,7188.77,Internet Banking,Completed
T0000046,A003942,2025-08-04 17:00:00,Withdrawal,3532.32,POS,Failed
T0000047,A005250,2025-07-01 19:00:00,ATM Withdrawal,2157.59,Internet Banking,Failed
T0000048,A001840,2025-11-17 23:00:00,UPI,1617.59,POS,Completed
T0000049,A003901,2025-10-13 20:00:00,Withdrawal,6182.13,POS,Completed
T0000050,A006868,2025-08-23 10:00:00,Withdrawal,2105.2,Internet Banking,Completed
T0000051,A006304,2025-06-28 13:00:00,Card Payment,11353.37,ATM,Failed
T0000052,A001411,2025-06-04 02:00:00,UPI,4945.48,ATM,Completed
T0000053,A001132,2025-07-14 02:00:00,Card Payment,1355.6,Mobile App,Completed
T0000054,A002826,2025-03-30 14:00:00,UPI,4027.32,Internet Banking,Failed
T0000055,A000462,2025-12-31 06:00:00,Transfer,23885.29,Mobile App,Completed
T0000056,A001277,2025-06-12 22:00:00,Withdrawal,19770.22,Branch,Failed
T0000057,A004899,2025-03-05 08:00:00,Transfer,5587.42,POS,Completed
T0000058,A002483,2025-07-09 08:00:00,Card Payment,2492.35,ATM,Completed
T0000059,A002415,2025-08-09 02:00:00,Card Payment,2271.34,Mobile App,Completed
T0000060,A005373,2025-05-26 19:00:00,Withdrawal,7753.17,Internet Banking,Completed
T0000061,A004669,2025-01-01 06:00:00,Deposit,10335.79,Branch,Failed
T0000062,A003084,2025-08-23 11:00:00,ATM Withdrawal,545.24,Internet Banking,Failed
T0000063,A003156,2025-04-18 12:00:00,Card Payment,12705.88,Internet Banking,Failed
T0000064,A002160,2025-07-05 17:00:00,ATM Withdrawal,7796.31,Mobile App,Completed
T0000065,A004854,2025-10-26 20:00:00,ATM Withdrawal,1246.89,ATM,Completed
T0000066,A005710,2025-09-08 19:00:00,Withdrawal,2952.55,Branch,Completed
T0000067,A000788,2025-11-19 16:00:00,Transfer,6680.68,ATM,Completed
T0000068,A003772,2025-05-31 10:00:00,Withdrawal,18292.55,Mobile App,Failed
T0000069,A004514,2025-09-16 16:00:00,Transfer,13497.01,Branch,Completed
T0000070,A005537,2025-11-18 04:00:00,UPI,9137.86,Mobile App,Completed
T0000071,A005609,2025-11-07 07:00:00,Card Payment,4173.07,Internet Banking,Completed
T0000072,A001576,2025-12-06 12:00:00,Card Payment,9649.43,POS,Completed
T0000073,A001732,2025-06-10 14:00:00,Transfer,2266.02,Branch,Failed
T0000074,A004977,2025-08-08 11:00:00,Deposit,20090.75,ATM,Completed
T0000075,A005591,2025-07-29 02:00:00,UPI,1237.47,Internet Banking,Failed
T0000076,A001156,2025-02-23 05:00:00,Transfer,3668.27,Mobile App,Completed
T0000077,A004122,2025-09-18 19:00:00,Transfer,9515.72,ATM,Completed
T0000078,A004803,2025-04-26 00:00:00,Deposit,3574.02,POS,Completed
T0000079,A006455,2025-10-28 02:00:00,Transfer,20311.02,POS,Completed
T0000080,A003967,2025-09-10 11:00:00,UPI,9114.08,Branch,Completed
T0000081,A002443,2025-04-10 21:00:00,ATM Withdrawal,5748.45,Branch,Failed
T0000082,A004509,2025-09-17 08:00:00,Transfer,6459.84,POS,Completed
T0000083,A003409,2025-10-27 22:00:00,ATM Withdrawal,2259.01,Mobile App,Completed
T0000084,A006152,2025-09-07 13:00:00,Withdrawal,473.17,Mobile App,Completed
T0000085,A001462,2025-06-07 01:00:00,Transfer,13140.59,ATM,Completed
T0000086,A006047,2025-10-07 17:00:00,Transfer,6566.86,Branch,Completed
T0000087,A000989,2025-10-03 06:00:00,Withdrawal,2219.19,Mobile App,Completed
T0000088,A005847,2025-06-25 00:00:00,Deposit,1171.59,POS,Completed
T0000089,A006877,2025-11-07 00:00:00,Withdrawal,2403.0,Branch,Completed
T0000090,A006116,2025-01-03 09:00:00,Deposit,18641.48,POS,Completed
T0000091,A006277,2025-07-28 05:00:00,Transfer,17309.75,ATM,Completed
T0000092,A001370,2025-02-01 22:00:00,UPI,22410.9,ATM,Completed
T0000093,A006461,2025-07-18 22:00:00,Transfer,5280.47,POS,Failed
T0000094,A002588,2025-03-26 01:00:00,Card Payment,3149.04,Branch,Failed
T0000095,A000515,2025-11-22 15:00:00,ATM Withdrawal,3895.92,POS,Completed
T0000096,A003604,2025-09-13 02:00:00,ATM Withdrawal,8139.49,Branch,Completed
T0000097,A001144,2025-12-06 12:00:00,UPI,13302.47,POS,Completed
T0000098,A001792,2025-09-01 01:00:00,UPI,3375.92,Internet Banking,Failed
T0000099,A002573,2025-06-14 21:00:00,ATM Withdrawal,982.8,Branch,Completed
T0000100,A004183,2025-12-08 05:00:00,UPI,2198.28,POS,Failed
T0000101,A004915,2025-05-07 22:00:00,UPI,1125.12,ATM,Failed
T0000102,A002067,2025-06-21 07:00:00,UPI,15778.49,Branch,Completed
T0000103,A006579,2025-08-22 12:00:00,Withdrawal,10782.66,ATM,Completed
T0000104,A000618,2025-11-16 20:00:00,Transfer,9649.62,POS,Completed
T0000105,A003540,2025-08-02 00:00:00,Card Payment,9292.72,Branch,Failed
T0000106,A001976,2025-05-22 18:00:00,ATM Withdrawal,6988.97,POS,Completed
T0000107,A002418,2025-01-28 06:00:00,Card Payment,16292.67,Branch,Completed
T0000108,A006841,2025-08-12 22:00:00,ATM Withdrawal,1799.49,Branch,Completed
T0000109,A006889,2025-03-06 18:00:00,Withdrawal,28771.8,Mobile App,Completed
T0000110,A004996,2025-11-04 05:00:00,UPI,18830.66,Branch,Failed
T0000111,A005313,2025-12-02 01:00:00,Withdrawal,32503.67,POS,Completed
T0000112,A005814,2025-11-11 06:00:00,Deposit,6320.58,Internet Banking,Completed
T0000113,A004038,2025-06-09 22:00:00,Withdrawal,6583.6,Mobile App,Completed
T0000114,A006626,2025-09-28 20:00:00,Card Payment,4336.05,Mobile App,Failed
T0000115,A002293,2025-03-10 02:00:00,UPI,1353.54,POS,Completed
T0000116,A000125,2025-09-11 17:00:00,UPI,17394.65,Internet Banking,Completed
T0000117,A001339,2025-02-18 00:00:00,Withdrawal,6117.04,Mobile App,Completed
T0000118,A000590,2025-11-21 06:00:00,ATM Withdrawal,4320.37,Branch,Failed
T0000119,A003278,2025-10-30 14:00:00,ATM Withdrawal,2134.11,POS,Completed
T0000120,A004171,2025-02-08 07:00:00,UPI,649.45,ATM,Completed
T0000121,A004522,2025-07-14 11:00:00,UPI,13962.2,ATM,Completed
T0000122,A001859,2025-07-14 11:00:00,UPI,14169.05,Branch,Failed
T0000123,A000920,2025-05-24 23:00:00,UPI,7966.68,Branch,Completed
T0000124,A004546,2025-10-18 13:00:00,Withdrawal,2720.68,Internet Banking,Completed
T0000125,A001216,2025-09-12 17:00:00,Withdrawal,3119.98,Mobile App,Completed
T0000126,A003286,2025-04-21 00:00:00,Card Payment,2265.26,Branch,Completed
T0000127,A006341,2025-11-17 05:00:00,Deposit,9678.02,Branch,Completed
T0000128,A002391,2025-10-05 02:00:00,Withdrawal,18062.75,POS,Completed
T0000129,A004590,2025-08-24 11:00:00,Card Payment,1083.7,Mobile App,Completed
T0000130,A005571,2025-06-29 02:00:00,Withdrawal,1674.72,Mobile App,Failed
T0000131,A005464,2025-05-22 16:00:00,Transfer,8486.21,Branch,Completed
T0000132,A000596,2025-02-23 17:00:00,Withdrawal,2995.05,Branch,Completed
T0000133,A006353,2025-05-01 20:00:00,Card Payment,10250.06,ATM,Failed
T0000134,A005752,2025-10-07 20:00:00,Transfer,6438.37,Mobile App,Failed
T0000135,A003359,2025-03-02 01:00:00,Card Payment,8025.95,Mobile App,Completed
T0000136,A006913,2025-04-11 08:00:00,UPI,13987.92,ATM,Failed
T0000137,A001874,2025-05-03 16:00:00,UPI,8435.06,POS,Completed
T0000138,A006913,2025-10-28 11:00:00,Card Payment,6424.38,Mobile App,Completed
T0000139,A004055,2025-01-01 12:00:00,UPI,3176.8,POS,Completed
T0000140,A002939,2025-03-19 19:00:00,Withdrawal,8396.54,ATM,Completed
T0000141,A000505,2025-05-04 22:00:00,ATM Withdrawal,30458.06,ATM,Completed
T0000142,A003829,2025-06-03 10:00:00,ATM Withdrawal,5530.69,Internet Banking,Failed
T0000143,A004349,2025-05-08 22:00:00,Transfer,7835.36,Mobile App,Failed
T0000144,A002832,2025-01-24 23:00:00,Deposit,3746.34,Mobile App,Completed
T0000145,A003576,2025-09-09 07:00:00,Card Payment,3615.35,Branch,Failed
T0000146,A005907,2025-05-27 10:00:00,ATM Withdrawal,2640.98,Internet Banking,Completed
T0000147,A004874,2025-04-21 17:00:00,Transfer,6248.31,ATM,Completed
T0000148,A001639,2025-10-24 10:00:00,Transfer,21074.32,Mobile App,Completed
T0000149,A000106,2025-11-28 19:00:00,Card Payment,483.01,ATM,Failed
T0000150,A006203,2025-04-11 01:00:00,ATM Withdrawal,19330.57,ATM,Failed
T0000151,A004711,2025-09-23 13:00:00,ATM Withdrawal,25585.58,Branch,Failed
T0000152,A001843,2025-06-08 21:00:00,Withdrawal,1034.57,POS,Completed
T0000153,A001564,2025-05-21 23:00:00,Transfer,2421.0,Branch,Completed
T0000154,A003455,2025-03-08 13:00:00,UPI,3997.99,Branch,Completed
T0000155,A005894,2025-07-20 01:00:00,Transfer,6153.05,Branch,Failed
T0000156,A003544,2025-07-24 19:00:00,ATM Withdrawal,3826.07,Internet Banking,Completed
T0000157,A002563,2025-07-16 20:00:00,Transfer,5339.43,POS,Completed
T0000158,A005413,2025-07-05 12:00:00,Card Payment,17759.1,POS,Completed
T0000159,A000456,2025-05-18 02:00:00,Card Payment,3436.14,Mobile App,Completed
T0000160,A005775,2025-10-24 21:00:00,Transfer,8174.26,Branch,Completed
T0000161,A002525,2025-01-09 13:00:00,ATM Withdrawal,20689.24,ATM,Completed
T0000162,A004654,2025-10-18 12:00:00,Deposit,1691.0,POS,Completed
T0000163,A000353,2025-02-15 04:00:00,Card Payment,3665.95,Internet Banking,Failed
T0000164,A001706,2025-08-05 07:00:00,Card Payment,1107.76,Mobile App,Completed
T0000165,A001963,2025-04-10 02:00:00,Transfer,7725.01,Branch,Completed
T0000166,A004889,2025-08-14 15:00:00,UPI,1814.89,Mobile App,Failed
T0000167,A004360,2025-02-25 13:00:00,Transfer,51396.48,ATM,Completed
T0000168,A003804,2025-08-20 07:00:00,ATM Withdrawal,3457.74,Branch,Completed
T0000169,A002600,2025-03-21 09:00:00,Card Payment,6166.22,Mobile App,Completed
T0000170,A006783,2025-02-04 06:00:00,Card Payment,1573.95,ATM,Completed
T0000171,A005858,2025-06-23 15:00:00,Deposit,3570.3,Internet Banking,Failed
T0000172,A001824,2025-12-30 04:00:00,Card Payment,6860.67,Mobile App,Completed
T0000173,A003093,2025-10-18 17:00:00,Card Payment,9636.59,Mobile App,Completed
T0000174,A002684,2025-10-20 21:00:00,Transfer,8893.3,Branch,Failed
T0000175,A000561,2025-08-06 21:00:00,ATM Withdrawal,908.3,ATM,Completed
T0000176,A001733,2025-02-19 14:00:00,Deposit,3231.21,Mobile App,Completed
T0000177,A003244,2025-07-02 00:00:00,Transfer,1587.52,ATM,Completed
T0000178,A004932,2025-09-04 18:00:00,Transfer,12077.67,Internet Banking,Completed
T0000179,A001158,2025-02-13 15:00:00,Card Payment,7595.16,ATM,Failed
T0000180,A005070,2025-08-13 05:00:00,Withdrawal,2643.45,ATM,Completed
T0000181,A003019,2025-04-02 02:00:00,ATM Withdrawal,12034.23,Mobile App,Failed
T0000182,A000108,2025-03-24 18:00:00,Transfer,4390.47,ATM,Failed
T0000183,A002339,2025-05-27 08:00:00,Withdrawal,3853.78,Branch,Failed
T0000184,A003368,2025-06-16 02:00:00,UPI,4921.73,Internet Banking,Completed
T0000185,A002640,2025-06-19 16:00:00,Withdrawal,12156.48,POS,Completed
T0000186,A004370,2025-12-28 21:00:00,Card Payment,4275.38,Branch,Completed
T0000187,A004884,2025-08-28 09:00:00,Deposit,522.8,Mobile App,Completed
T0000188,A001014,2025-10-23 03:00:00,Withdrawal,2497.7,POS,Completed
T0000189,A002156,2025-11-23 03:00:00,Transfer,6450.82,Branch,Completed
T0000190,A004809,2025-08-21 10:00:00,Deposit,8124.17,Internet Banking,Completed
T0000191,A000222,2025-09-01 17:00:00,Deposit,1531.77,ATM,Failed
T0000192,A006313,2025-07-03 07:00:00,Withdrawal,3266.63,Branch,Completed
T0000193,A000881,2025-04-14 19:00:00,ATM Withdrawal,19355.85,Branch,Completed
T0000194,A002480,2025-07-01 18:00:00,UPI,1833.5,Branch,Failed
T0000195,A003534,2025-11-07 03:00:00,Deposit,2686.8,ATM,Completed
T0000196,A005347,2025-01-08 03:00:00,ATM Withdrawal,1443.32,Mobile App,Completed
T0000197,A002527,2025-09-19 02:00:00,Transfer,30761.35,Mobile App,Completed
T0000198,A005425,2025-01-24 18:00:00,Transfer,9492.45,ATM,Completed
T0000199,A001011,2025-11-10 14:00:00,Card Payment,1623.73,Mobile App,Completed
T0000200,A004821,2025-07-20 21:00:00,Withdrawal,1656.4,Mobile App,Failed
T0000201,A005017,2025-05-13 09:00:00,Card Payment,6035.25,Internet Banking,Completed
T0000202,A002429,2025-05-07 10:00:00,UPI,8458.07,Internet Banking,Completed
T0000203,A005113,2025-05-30 05:00:00,Card Payment,9174.04,Internet Banking,Completed
T0000204,A006334,2025-06-26 06:00:00,Transfer,9622.71,POS,Completed
T0000205,A004766,2025-10-04 15:00:00,ATM Withdrawal,1515.27,POS,Failed
T0000206,A001563,2025-09-07 06:00:00,ATM Withdrawal,1140.01,Mobile App,Completed
T0000207,A001342,2025-07-11 15:00:00,UPI,1714.43,Branch,Failed
T0000208,A002425,2025-03-11 12:00:00,UPI,3093.45,Branch,Completed
T0000209,A006524,2025-05-04 23:00:00,Deposit,6188.6,Internet Banking,Completed
T0000210,A001840,2025-01-01 16:00:00,ATM Withdrawal,3465.76,ATM,Completed
T0000211,A001135,2025-03-17 22:00:00,UPI,4991.35,Internet Banking,Failed
T0000212,A006246,2025-06-20 08:00:00,UPI,115098.81,Mobile App,Completed
T0000213,A001592,2025-01-03 06:00:00,ATM Withdrawal,5633.21,Branch,Completed
T0000214,A004675,2025-04-28 02:00:00,Withdrawal,18955.12,Internet Banking,Completed
T0000215,A000943,2025-05-30 08:00:00,ATM Withdrawal,1650.3,Branch,Completed
T0000216,A000823,2025-06-17 03:00:00,ATM Withdrawal,3542.12,Mobile App,Completed
T0000217,A002122,2025-07-14 18:00:00,ATM Withdrawal,8931.73,ATM,Failed
T0000218,A006125,2025-02-03 04:00:00,Transfer,682.89,Internet Banking,Completed
T0000219,A003270,2025-05-28 20:00:00,Withdrawal,4842.32,Mobile App,Completed
T0000220,A003275,2025-04-06 03:00:00,Deposit,947.5,Internet Banking,Completed
T0000221,A004741,2025-09-06 13:00:00,Transfer,18519.63,ATM,Failed
T0000222,A006761,2025-10-06 05:00:00,Withdrawal,3922.6,Branch,Failed
T0000223,A005726,2025-12-28 07:00:00,UPI,1845.46,Branch,Failed
T0000224,A003009,2025-02-11 05:00:00,Transfer,2063.63,Mobile App,Completed
T0000225,A000037,2025-01-10 02:00:00,Card Payment,4065.23,Internet Banking,Completed
T0000226,A005331,2025-04-27 06:00:00,Deposit,9930.59,Mobile App,Completed
T0000227,A005483,2025-01-22 19:00:00,Withdrawal,21700.15,Mobile App,Completed
T0000228,A003915,2025-07-09 15:00:00,Card Payment,8601.55,Branch,Failed
T0000229,A001815,2025-05-20 21:00:00,ATM Withdrawal,1524.26,Branch,Completed
T0000230,A006328,2025-03-10 13:00:00,Card Payment,2839.38,POS,Completed
T0000231,A004029,2025-11-23 23:00:00,Withdrawal,8861.59,ATM,Completed
T0000232,A003896,2025-12-20 05:00:00,Card Payment,2465.1,Internet Banking,Failed
T0000233,A002093,2025-04-03 13:00:00,Withdrawal,4824.61,Branch,Completed
T0000234,A004373,2025-08-29 02:00:00,Card Payment,3332.17,Internet Banking,Failed
T0000235,A005383,2025-01-18 15:00:00,UPI,425.3,Branch,Completed
T0000236,A000996,2025-11-03 15:00:00,Withdrawal,12491.48,ATM,Completed
T0000237,A000436,2025-11-09 04:00:00,Card Payment,1363.0,Mobile App,Completed
T0000238,A002655,2025-07-04 09:00:00,ATM Withdrawal,4749.01,ATM,Completed
T0000239,A001499,2025-03-05 16:00:00,Withdrawal,11193.15,Mobile App,Completed
T0000240,A004850,2025-01-16 19:00:00,UPI,1904.58,Branch,Completed
T0000241,A003428,2025-08-28 13:00:00,Deposit,4006.72,Internet Banking,Completed
T0000242,A002402,2025-06-14 07:00:00,Withdrawal,6893.01,Mobile App,Failed
T0000243,A000154,2025-03-08 03:00:00,ATM Withdrawal,3466.99,Mobile App,Failed
T0000244,A003605,2025-01-12 11:00:00,Transfer,4728.23,Branch,Completed
T0000245,A003225,2025-12-13 23:00:00,UPI,4057.65,Branch,Completed
T0000246,A001290,2025-05-17 23:00:00,Card Payment,335.44,Branch,Completed
T0000247,A005950,2025-03-03 02:00:00,Transfer,3385.1,Branch,Completed
T0000248,A005814,2025-12-02 07:00:00,Deposit,5239.18,Branch,Completed
T0000249,A000928,2025-09-21 01:00:00,Deposit,10719.76,Mobile App,Completed
T0000250,A002614,2025-01-22 17:00:00,Transfer,5210.6,POS,Completed
T0000251,A000110,2025-01-29 12:00:00,UPI,2685.66,Branch,Completed
T0000252,A005036,2025-05-23 22:00:00,UPI,512.09,Branch,Completed
T0000253,A004404,2025-10-15 12:00:00,Card Payment,1026.59,ATM,Completed
T0000254,A002967,2025-10-04 05:00:00,Withdrawal,4790.1,Branch,Completed
T0000255,A005638,2025-07-24 07:00:00,Deposit,2156.52,Mobile App,Failed
T0000256,A000412,2025-12-17 06:00:00,Deposit,5194.23,Mobile App,Completed
T0000257,A002126,2025-07-18 18:00:00,Deposit,3694.62,Mobile App,Completed
T0000258,A004654,2025-09-27 06:00:00,Deposit,2484.94,POS,Failed
T0000259,A006223,2025-06-01 15:00:00,Deposit,2278.21,Branch,Completed
T0000260,A000133,2025-02-28 04:00:00,ATM Withdrawal,31216.16,Mobile App,Completed
T0000261,A002003,2025-10-05 17:00:00,Transfer,2572.78,Branch,Completed
T0000262,A004838,2025-06-06 04:00:00,Deposit,3035.0,Internet Banking,Failed
T0000263,A002629,2025-02-08 03:00:00,Transfer,6375.95,Internet Banking,Completed
T0000264,A000798,2025-09-09 00:00:00,Card Payment,4011.89,POS,Failed
T0000265,A002235,2025-03-26 04:00:00,Card Payment,438.99,Internet Banking,Failed
T0000266,A004577,2025-08-22 21:00:00,UPI,14293.71,Mobile App,Completed
T0000267,A002072,2025-05-08 22:00:00,Withdrawal,3539.61,POS,Completed
T0000268,A006634,2025-12-27 06:00:00,Withdrawal,2607.55,ATM,Completed
T0000269,A004291,2025-10-29 21:00:00,Deposit,16896.25,POS,Completed
T0000270,A000969,2025-05-23 14:00:00,UPI,5076.44,POS,Failed
T0000271,A003770,2025-04-19 17:00:00,Deposit,6133.49,POS,Completed
T0000272,A005154,2025-04-20 22:00:00,Transfer,3446.34,POS,Completed
T0000273,A002304,2025-06-10 18:00:00,UPI,3114.65,POS,Completed
T0000274,A003784,2025-06-23 07:00:00,Card Payment,11338.7,Branch,Completed
T0000275,A001518,2025-09-03 23:00:00,UPI,6091.45,ATM,Completed
T0000276,A002092,2025-02-15 02:00:00,Transfer,3161.01,ATM,Failed
T0000277,A002517,2025-08-22 09:00:00,Deposit,58320.59,Internet Banking,Completed
T0000278,A002441,2025-01-07 06:00:00,Deposit,3935.51,ATM,Failed
T0000279,A005917,2025-11-23 11:00:00,UPI,10284.0,Mobile App,Completed
T0000280,A006392,2025-07-17 16:00:00,ATM Withdrawal,11034.11,Internet Banking,Completed
T0000281,A000885,2025-12-09 01:00:00,UPI,9193.06,Branch,Completed
T0000282,A005379,2025-01-23 18:00:00,Transfer,9510.8,POS,Completed
T0000283,A001538,2025-11-13 00:00:00,UPI,2319.27,Branch,Completed
T0000284,A004133,2025-08-26 17:00:00,Deposit,5408.54,Internet Banking,Completed
T0000285,A003917,2025-05-25 09:00:00,ATM Withdrawal,4266.09,Mobile App,Completed
T0000286,A003691,2025-09-22 01:00:00,Deposit,10620.0,POS,Failed
T0000287,A003374,2025-05-05 15:00:00,ATM Withdrawal,8087.01,Internet Banking,Failed
T0000288,A001522,2025-08-13 20:00:00,ATM Withdrawal,35038.9,POS,Completed
T0000289,A006637,2025-07-29 00:00:00,Transfer,5826.93,ATM,Completed
T0000290,A002644,2025-09-25 16:00:00,Card Payment,3623.42,Mobile App,Failed
T0000291,A001949,2025-12-25 12:00:00,Transfer,21140.35,ATM,Completed
T0000292,A001342,2025-05-26 10:00:00,Card Payment,866.53,ATM,Completed
T0000293,A003012,2025-05-05 01:00:00,Card Payment,3326.28,ATM,Completed
T0000294,A003872,2025-06-25 13:00:00,ATM Withdrawal,6314.16,Internet Banking,Failed
T0000295,A003779,2025-09-28 06:00:00,Card Payment,2777.3,Internet Banking,Completed
T0000296,A005354,2025-09-27 19:00:00,ATM Withdrawal,5412.12,Mobile App,Completed
T0000297,A002238,2025-05-09 20:00:00,Card Payment,5093.43,Internet Banking,Failed
T0000298,A002894,2025-04-04 09:00:00,UPI,4475.9,POS,Completed
T0000299,A003058,2025-09-07 07:00:00,Deposit,4523.39,ATM,Failed
T0000300,A003868,2025-11-26 17:00:00,UPI,2763.97,ATM,Completed
T0000301,A001990,2025-01-05 16:00:00,Withdrawal,6024.79,Internet Banking,Failed
T0000302,A003079,2025-08-20 20:00:00,Withdrawal,28127.8,Internet Banking,Completed
T0000303,A000555,2025-08-10 16:00:00,UPI,3252.17,ATM,Completed
T0000304,A000669,2025-05-31 00:00:00,ATM Withdrawal,3988.0,Internet Banking,Completed
T0000305,A005612,2025-07-28 02:00:00,ATM Withdrawal,4816.71,ATM,Completed
T0000306,A003100,2025-04-23 00:00:00,UPI,20944.72,Branch,Completed
T0000307,A006105,2025-04-08 09:00:00,Card Payment,4568.94,Internet Banking,Completed
T0000308,A003441,2025-11-03 22:00:00,Card Payment,3531.97,Mobile App,Completed
T0000309,A006697,2025-08-29 13:00:00,Card Payment,8244.83,Internet Banking,Completed
T0000310,A004145,2025-11-13 13:00:00,Withdrawal,1773.11,POS,Completed
T0000311,A004096,2025-10-31 06:00:00,UPI,33462.2,POS,Failed
T0000312,A000216,2025-04-23 23:00:00,Card Payment,22587.36,Internet Banking,Failed
T0000313,A001874,2025-12-30 05:00:00,Transfer,3483.29,Mobile App,Completed
T0000314,A002351,2025-09-07 18:00:00,ATM Withdrawal,2726.98,ATM,Completed
T0000315,A002677,2025-08-03 19:00:00,Withdrawal,13993.72,Branch,Completed
T0000316,A004893,2025-12-19 15:00:00,Withdrawal,15867.33,ATM,Completed
T0000317,A004292,2025-04-29 07:00:00,Transfer,9717.12,Branch,Failed
T0000318,A005783,2025-11-18 03:00:00,UPI,12739.42,POS,Failed
T0000319,A003959,2025-04-26 03:00:00,Transfer,5784.94,Branch,Completed
T0000320,A001172,2025-07-01 11:00:00,ATM Withdrawal,1916.35,Internet Banking,Completed
T0000321,A004775,2025-01-25 17:00:00,Deposit,5052.19,Internet Banking,Completed
T0000322,A002080,2025-01-30 04:00:00,Transfer,4305.31,POS,Failed
T0000323,A004868,2025-08-13 04:00:00,Deposit,7367.56,Internet Banking,Failed
T0000324,A005117,2025-02-17 17:00:00,ATM Withdrawal,13307.32,Mobile App,Completed
T0000325,A006781,2025-03-06 07:00:00,UPI,722.49,ATM,Completed
T0000326,A004334,2025-07-20 16:00:00,Deposit,2999.38,POS,Failed
T0000327,A000150,2025-02-24 13:00:00,UPI,31642.49,Branch,Completed
T0000328,A000610,2025-08-23 13:00:00,ATM Withdrawal,4253.06,ATM,Completed
T0000329,A000025,2025-05-13 08:00:00,Deposit,10007.17,Branch,Failed
T0000330,A001956,2025-06-19 05:00:00,Withdrawal,1635.48,POS,Completed
T0000331,A002364,2025-12-10 14:00:00,ATM Withdrawal,1515.44,POS,Completed
T0000332,A002530,2025-07-05 14:00:00,Deposit,11014.91,POS,Completed
